flavor,mass_GeV,channel,production_weight_fraction,accepted_peak_fraction
Ue,0.825,induced_tau,0.0033273878276148514,0.0025832870032940092
Ue,0.825,Kmeson,0.0,0.0
Ue,0.825,WZ,0.00017242110549988226,0.0003342845814596156
Ue,0.85,Bmeson,0.15667686833465433,0.1998070078681637
Ue,0.85,Dmeson,0.8397255710563322,0.7964778105780645
Ue,0.85,Bc,0.00018432569307883157,0.000254392375973968
Ue,0.85,tau,1.894190288981887e-05,1.9115532919584027e-05
Ue,0.85,induced_tau,0.003220014081477771,0.0030656375170650587
Ue,0.85,Kmeson,0.0,0.0
Ue,0.85,WZ,0.00017427893156698784,0.0003760361278131485
Ue,0.875,Bmeson,0.15636428710962533,0.19299661670078697
Ue,0.875,Dmeson,0.8404169971145045,0.8038842845918399
Ue,0.875,Bc,0.0001840453129058878,0.0002477267923054017
Ue,0.875,tau,1.738895274687473e-05,1.603956216018568e-05
Ue,0.875,induced_tau,0.002841689571539632,0.002512671977824774
Ue,0.875,Kmeson,0.0,0.0
Ue,0.875,WZ,0.00017559193867784078,0.000342660375082861
Ue,0.9,Bmeson,0.1537934770779681,0.18609045468606017
Ue,0.9,Dmeson,0.8432037514009717,0.8111531413328648
Ue,0.9,Bc,0.00018605433988993616,0.0002452216094898114
Ue,0.9,tau,1.603558285370282e-05,1.3333375854830023e-05
Ue,0.9,induced_tau,0.002622294567173907,0.002201635684645819
Ue,0.9,Kmeson,0.0,0.0
Ue,0.9,WZ,0.00017838703114263463,0.0002962133110845269
Ue,0.925,Bmeson,0.1555437109620903,0.16594386623458957
Ue,0.925,Dmeson,0.8417680367173251,0.8321466506979808
Ue,0.925,Bc,0.00018700499100344613,0.0002450281331200878
Ue,0.925,tau,1.3833227362601896e-05,1.0818532637842971e-05
Ue,0.925,induced_tau,0.002307372637463673,0.001373608274064769
Ue,0.925,Kmeson,0.0,0.0
Ue,0.925,WZ,0.00018004146475505704,0.0002800281276071455
Ue,0.95,Bmeson,0.1512055760238826,0.1792582061946194
Ue,0.95,Dmeson,0.8462767675679183,0.8182165221131822
Ue,0.95,Bc,0.00018685487009570718,0.00026585830221516706
Ue,0.95,tau,1.2772931529293112e-05,1.135329479688192e-05
Ue,0.95,induced_tau,0.002135313279389766,0.0019050884048179577
Ue,0.95,Kmeson,0.0,0.0
Ue,0.95,WZ,0.0001827153271843601,0.0003429716903682598
Ue,0.975,Bmeson,0.15042943393980032,0.18922630130223667
Ue,0.975,Dmeson,0.8473027701419624,0.8088746543642835
Ue,0.975,Bc,0.0001852858597787193,0.00024121149716545964
Ue,0.975,tau,1.1228896883041584e-05,1.012088219829984e-05
Ue,0.975,induced_tau,0.0018879077934701547,0.0013040305611658502
Ue,0.975,Kmeson,0.0,0.0
Ue,0.975,WZ,0.00018337336810539664,0.00034368139295020415
Ue,1.0,Bmeson,0.15082323891175725,0.16103970837713621
Ue,1.0,Dmeson,0.8471690105547925,0.8373240878284074
Ue,1.0,Bc,0.0001897353369078074,0.000257615659668329
Ue,1.0,tau,1.0023867612623923e-05,8.34324627844656e-06
Ue,1.0,induced_tau,0.0016225941090835265,0.0010101959368760786
Ue,1.0,Kmeson,0.0,0.0
Ue,1.0,WZ,0.00018539721984624417,0.0003600489516334601
Ue,1.025,Bmeson,0.14722853017224752,0.1493713024274633
Ue,1.025,Dmeson,0.8509095678158043,0.8490174377484518
Ue,1.025,Bc,0.0001924994655390259,0.0002539819997625368
Ue,1.025,tau,9.005364214701576e-06,6.846154337070121e-06
Ue,1.025,induced_tau,0.0014728247106586584,0.0010717715793846306
Ue,1.025,Kmeson,0.0,0.0
Ue,1.025,WZ,0.00018757247153574928,0.00027866009060067054
Ue,1.05,Bmeson,0.1439959811507183,0.14635465959721933
Ue,1.05,Dmeson,0.8543869814527888,0.8519746881425794
Ue,1.05,Bc,0.00018630129108144924,0.0002745704907742477
Ue,1.05,tau,7.912088760959748e-06,5.456103315902747e-06
Ue,1.05,induced_tau,0.001233107273057134,0.0011437675518425996
Ue,1.05,Kmeson,0.0,0.0
Ue,1.05,WZ,0.0001897167435932674,0.00024685811426837767
Ue,1.075,Bmeson,0.14700650793579467,0.1790964364344444
Ue,1.075,Dmeson,0.8514823072086145,0.8193175939508491
Ue,1.075,Bc,0.00019079682066264046,0.00026710188478395254
Ue,1.075,tau,6.998914445858898e-06,6.064681841767824e-06
Ue,1.075,induced_tau,0.001121776545920106,0.0009749293206585353
Ue,1.075,Kmeson,0.0,0.0
Ue,1.075,WZ,0.0001916125745621424,0.0003378737274221729
Ue,1.1,Bmeson,0.1447417569007658,0.12919591339387096
Ue,1.1,Dmeson,0.8539059218350191,0.8694917080238452
Ue,1.1,Bc,0.00019154998481986862,0.00023578091318819975
Ue,1.1,tau,5.9579525609957425e-06,3.934826300498226e-06
Ue,1.1,induced_tau,0.0009603565764438898,0.0008092865200303859
Ue,1.1,Kmeson,0.0,0.0
Ue,1.1,WZ,0.00019445675039024936,0.0002633763227647363
Ue,1.125,Bmeson,0.14288043790141258,0.21104711055151912
Ue,1.125,Dmeson,0.855876385006488,0.7870192013526303
Ue,1.125,Bc,0.00019458800029019367,0.00039592569449384615
Ue,1.125,tau,5.198785938811989e-06,5.506661604455819e-06
Ue,1.125,induced_tau,0.0008462506562674707,0.0010873739135690147
Ue,1.125,Kmeson,0.0,0.0
Ue,1.125,WZ,0.00019713964960283746,0.00044488182618352583
Ue,1.15,Bmeson,0.14129543778711437,0.14513368096485657
Ue,1.15,Dmeson,0.8575688321355495,0.8537709782881111
Ue,1.15,Bc,0.00019695879876052838,0.0002331525548459926
Ue,1.15,tau,4.357739055723118e-06,3.1545313309674806e-06
Ue,1.15,induced_tau,0.0007346193607101889,0.0005659323613218869
Ue,1.15,Kmeson,0.0,0.0
Ue,1.15,WZ,0.00019979417880980983,0.00029310129953341645
Ue,1.175,Bmeson,0.1392775032775132,0.1406689083520735
Ue,1.175,Dmeson,0.8596912564679604,0.8580602342979603
Ue,1.175,Bc,0.00019932949771748253,0.000245155577782642
Ue,1.175,tau,3.7864721097458036e-06,2.3937467981790532e-06
Ue,1.175,induced_tau,0.0006247411577568844,0.0007676565793301686
Ue,1.175,Kmeson,0.0,0.0
Ue,1.175,WZ,0.00020338312694244355,0.00025565144605508574
Ue,1.2,Bmeson,0.13865473231143044,0.1377590842930691
Ue,1.2,Dmeson,0.8604175366819398,0.8612685465659466
Ue,1.2,Bc,0.00020027722796017397,0.0002613595747378262
