flavor,boundary,item,classification,mass_bin_low_GeV,mass_bin_high_GeV,n_mass_points,median_low_shift_pct,median_high_shift_pct,min_shift_pct,max_shift_pct,max_abs_shift_pct,n_missing_boundaries
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",2.6999999999999997,2.9999999999999996,1,-27.773146287489993,47.912352691117064,-27.773146287489993,47.912352691117064,47.912352691117064,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",3.0,3.3,2,-32.055583554981496,57.05988953377451,-33.88987507061798,60.58825032353765,60.58825032353765,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",3.3,3.5999999999999996,1,-38.31366155026815,70.01533096176729,-38.31366155026815,70.01533096176729,70.01533096176729,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",3.5999999999999996,3.8999999999999995,2,-46.10126998216353,67.85003039473685,-49.328034024056535,75.49714903872061,75.49714903872061,0
Ue,lower,combined_physics_model_rss,"engineering envelope, not confidence interval",3.9,4.2,1,-38.50342664470979,57.3204029177387,-38.50342664470979,57.3204029177387,57.3204029177387,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,0.0,0.3,7,9.4230487857061e-06,-9.423044022849325e-06,-1.1038344549518797e-05,1.1038350278269604e-05,1.1038350278269604e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,0.3,0.6,17,9.638279707679942e-06,-9.638274878209785e-06,-1.105469741302656e-05,1.1054703352719741e-05,1.1054703352719741e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,0.6,0.8999999999999999,12,1.032008879464641e-05,-1.0320083643211575e-05,-1.1258830923122076e-05,1.125883648533943e-05,1.125883648533943e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,0.8999999999999999,1.2,12,9.819209667583095e-06,-9.819204616068333e-06,-1.1305582670040337e-05,1.1305588443200065e-05,1.1305588443200065e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,1.2,1.5,12,1.0266601679909115e-05,-1.0266596339736367e-05,-1.112817277215683e-05,1.1128178711850012e-05,1.1128178711850012e-05,0
Ue,lower,csv_8_digit_serialization,quantitatively dismissed by rounding bound,1.5,1.8,12,1.0241941694744128e-05,-1.0241936543309293e-05,-1.1235909991302861e-05,1.1235916153040648e-05,1.1235916153040648e-05,0
