event,weight,id,parent_id,pt,eta,phi,momentum,mass,decay_x_m,decay_y_m,decay_z_m,L_xyz_m,L_xy_m
175,1,9900015,521,3.43951,-2.70937,2.13325,25.945,3.6,-0.63422,1.00609,-8.89195,8.97072,1.18924
176,1,-9900015,-521,11.4862,5.46562,2.57702,1357.82,3.6,-5.37297,3.40291,751.788,751.66,6.3585
176,1,9900015,521,4.79394,4.61815,-1.16567,242.853,3.6,0.471387,-1.10037,60.6186,60.5408,1.19508
180,1,9900015,521,6.32077,0.444696,1.9031,6.95612,3.6,-0.142117,0.411445,0.200043,0.477378,0.433776
180,1,-9900015,-521,7.24388,1.5937,-1.11211,18.5627,3.6,0.225451,-0.45629,1.2009,1.30263,0.508335
182,1,9900015,521,11.4688,-0.00830325,-0.970224,11.4692,3.6,4.97173,-7.25829,-0.0730552,8.79765,8.79735
183,1,-9900015,-521,13.3087,-0.209438,0.934278,13.6016,3.6,0.755882,1.02263,-0.268151,1.29739,1.26945
185,1,-9900015,-521,10.0938,1.48845,2.87318,23.4982,3.6,-4.32431,1.18943,9.42863,10.4393,4.48429
185,1,9900015,521,9.95512,0.266677,-0.820116,10.3112,3.6,1.04551,-1.12075,0.413597,1.58739,1.53257
186,1,-9900015,-521,10.4149,-0.661187,-1.14954,12.7756,3.6,0.148251,-0.330823,-0.257638,0.444008,0.361964
189,1,9900015,521,9.9971,4.18969,-2.20224,329.993,3.6,-0.551191,-0.753671,30.8054,30.8087,0.933345
190,1,-9900015,-521,5.01703,-1.65171,-0.990051,13.5651,3.6,1.5625,-2.38108,-7.15433,7.69986,2.84779
191,1,-9900015,-521,10.2089,0.752535,-1.24137,13.2386,3.6,0.160863,-0.47045,0.411078,0.638387,0.492289
192,1,9900015,521,5.70876,3.08263,-0.944471,62.4011,3.6,1.54191,-2.13127,28.6325,28.7362,2.62893
192,1,-9900015,-521,8.39539,2.78703,2.17468,68.3985,3.6,-0.525557,0.761991,7.48646,7.52931,0.924165
194,1,-9900015,-521,5.47898,-5.32981,-0.146311,565.439,3.6,0.0207968,-0.00306392,-2.18927,2.10046,0.020353
195,1,9900015,521,1.16761,-1.30647,1.36102,2.31414,3.6,0.154315,0.724848,-1.26825,1.46879,0.741085
197,1,-9900015,-521,5.25701,3.87124,-0.770384,126.228,3.6,0.586049,-0.568741,19.5913,19.605,0.816489
198,1,9900015,521,11.8128,2.29754,0.794538,59.3607,3.6,2.01277,2.04987,14.1478,14.4333,2.87223
199,1,-9900015,-521,14.3499,2.04561,-2.46222,56.4178,3.6,-2.19807,-1.7752,10.7429,11.1072,2.82513
200,1,-9900015,-521,13.2969,-1.81419,-1.64264,41.8794,3.6,-0.452241,-6.28362,-18.8153,19.8374,6.2985
202,1,9900015,521,6.22751,-2.40518,-1.69227,34.7828,3.6,-0.156929,-1.28508,-7.11406,7.22828,1.29415
202,1,-9900015,-521,3.8934,-3.81388,1.81675,88.279,3.6,-0.0362374,0.144281,-3.36992,3.37195,0.148714
204,1,-9900015,-521,6.51284,-1.53372,-0.643069,15.7973,3.6,0.922307,-0.690982,-2.54619,2.79209,1.15111
205,1,9900015,521,11.8353,1.40884,-0.275723,25.6567,3.6,6.16344,-1.74382,12.32,13.8856,6.40532
205,1,-9900015,-521,9.50749,0.239267,-3.12062,9.78094,3.6,-5.23808,-0.10992,1.2655,5.3891,5.23843
