# PastExclusion HNL |U_{\tau}|^2 sensitivity (BC8 benchmark)
# Source: HNLimits Utau4 single-flavor compilation
# kind: envelope
# mass_GeV  u2
0.000176288  0.13
0.000179673  0.13
0.000183124  0.13
0.000186641  0.13
0.000190225  0.13
0.000193878  0.13
0.000197601  0.13
0.000201396  0.13
0.000205263  0.13
0.000209205  0.13
0.000213223  0.13
0.000217318  0.13
0.000221491  0.13
0.000225745  0.13
0.00023008  0.13
0.000234498  0.13
0.000239002  0.13
0.000243591  0.13
0.000248269  0.13
0.000253037  0.13
0.000257896  0.13
0.000262849  0.13
0.000267897  0.13
0.000273042  0.13
0.000278285  0.13
0.000283629  0.13
0.000289076  0.13
0.000294627  0.13
0.000300286  0.13
0.000306052  0.13
0.00031193  0.13
0.00031792  0.13
0.000324025  0.13
0.000330248  0.13
0.00033659  0.13
0.000343054  0.13
0.000349642  0.13
0.000356356  0.13
0.0003632  0.13
0.000370175  0.13
0.000377284  0.13
0.000384529  0.13
0.000391914  0.13
0.00039944  0.13
0.000407111  0.13
0.000414929  0.13
0.000422897  0.13
0.000431019  0.13
0.000439296  0.13
0.000447732  0.13
0.00045633  0.13
0.000465094  0.13
0.000474025  0.13
0.000483129  0.13
0.000492407  0.13
0.000501863  0.13
0.000511501  0.13
0.000521323  0.13
0.000531335  0.13
0.000541539  0.13
0.000551938  0.13
0.000562538  0.13
0.000573341  0.13
0.000584351  0.13
0.000595573  0.13
0.000607011  0.13
0.000618668  0.13
0.000630549  0.13
0.000642658  0.13
0.000654999  0.13
0.000667578  0.13
0.000680398  0.13
0.000693465  0.13
0.000706782  0.13
0.000720355  0.13
0.000734189  0.13
0.000748288  0.13
0.000762658  0.13
0.000777304  0.13
0.000792232  0.13
0.000807446  0.13
0.000822952  0.13
0.000838756  0.13
0.000854863  0.13
0.00087128  0.13
0.000888012  0.13
0.000905066  0.13
0.000922447  0.13
0.000940161  0.13
0.000958216  0.13
0.000976618  0.13
0.000995373  0.13
0.001014488  0.13
0.00103397  0.13
0.001053827  0.13
0.001074064  0.13
0.001094691  0.13
0.001115713  0.13
0.001137139  0.13
0.001158977  0.13
0.001181234  0.13
0.001203919  0.13
0.001227039  0.13
0.001250603  0.13
0.001274619  0.13
0.001299097  0.13
0.001324045  0.13
0.001349472  0.13
0.001375388  0.13
0.001401801  0.13
0.001428721  0.13
0.001456158  0.13
0.001484122  0.13
0.001512623  0.13
0.001541672  0.13
0.001571278  0.13
0.001601453  0.13
0.001632207  0.13
0.001663552  0.13
0.001695499  0.13
0.001728059  0.13
0.001761245  0.13
0.001795068  0.13
0.001829541  0.13
0.001864675  0.13
0.001900485  0.13
0.001936982  0.13
0.001974179  0.13
0.002012092  0.13
0.002050732  0.13
0.002090114  0.13
0.002130253  0.13
0.002171162  0.13
0.002212857  0.13
0.002255353  0.13
0.002298665  0.13
0.002342809  0.13
0.0023878  0.13
0.002433655  0.13
0.002480391  0.13
0.002528025  0.13
0.002576573  0.13
0.002626054  0.13
0.002676485  0.13
0.002727884  0.13
0.002773207  0.13
0.00278027  0.13
0.002833663  0.13
0.002842076  0.13
0.00288808  0.13
0.002943543  0.13
0.003000071  0.13
0.003006938  0.13
0.003057685  0.13
0.003116405  0.13
0.003174076  0.13
0.003176252  0.13
0.003237249  0.13
0.003299417  0.13
0.003362779  0.13
0.003362998  0.13
0.003427358  0.13
0.003493177  0.13
0.00356026  0.13
0.00359016  0.13
0.003628632  0.13
0.003698316  0.13
0.003769339  0.13
0.003816175  0.13
0.003841725  0.13
0.003915502  0.13
0.003990695  0.13
0.004066779  0.13
0.004067333  0.13
0.004145442  0.13
0.004225051  0.13
0.004306189  0.13
0.004357077  0.13
0.004388885  0.13
0.00447317  0.13
0.004559072  0.13
0.004646625  0.13
0.004650343  0.13
0.004735859  0.13
0.004826807  0.13
0.004919501  0.13
0.004968305  0.13
0.005013975  0.13
0.005110264  0.1275309622
0.005208401  0.121290997
0.005308424  0.1153563472
0.005325829  0.1153563472
0.005410367  0.1097509556
0.005514268  0.1045441908
0.005620164  0.09958444344
0.00570344  0.09958444344
0.005728093  0.0948599946
0.005838096  0.09050366221
0.005950211  0.08641434359
0.006064479  0.08250979681
0.006102368  0.08250979681
0.006180941  0.0788084855
0.00629964  0.07537048596
0.006420619  0.07208246825
0.006518014  0.07208246825
0.006543921  0.06893788945
0.00666959  0.06617927313
0.006797673  0.06360391841
0.006928216  0.06112878317
0.006959038  0.06112878317
0.007061266  0.05877912929
0.007196871  0.05668225127
0.00733508  0.05466017696
0.00745501  0.05466017696
0.007475943  0.05271023784
0.007619511  0.05096771491
0.007765836  0.04944237299
0.007914972  0.04796268092
0.00799732  0.04796268092
0.008066971  0.04652727249
0.00822189  0.04538854893
0.008379783  0.04433163382
0.008540709  0.04329932997
0.008569745  0.04329932997
0.008704725  0.04236445596
0.00887189  0.04176992461
0.009042267  0.04118373675
0.009183731  0.04118373675
0.009215915  0.04060577529
0.009392897  0.04035544067
0.009573279  0.04031579469
0.009757124  0.04027618766
0.00983081  0.04027618766
0.0099445  0.04024005217
0.01  0.04024005217
0.010135475  0.04024005217
0.010330117  0.04024005217
0.010511129  0.04024005217
0.010528497  0.04024005217
0.010730686  0.04024005217
0.010936759  0.04024005217
0.011146789  0.04030124805
0.01125587  0.04101308908
0.011360852  0.04101308908
0.011428571  0.04173750336
0.011579026  0.04173750336
0.01180139  0.04247471297
0.011972033  0.04380127976
0.012028025  0.04380127976
0.012259011  0.04580123486
0.012494434  0.0478925074
0.01251035  0.04953380259
0.012734377  0.05050037799
0.012857143  0.05464002923
0.0129046  0.05464002923
0.012978929  0.05464002923
0.013203028  0.05911901877
0.013228176  0.05911901877
0.013442342  0.06598724872
0.013482211  0.06598724872
0.013641366  0.07136044413
0.013741123  0.07460674283
0.013843337  0.08518566368
0.014005008  0.08668042126
0.014071259  0.1003877849
0.014273961  0.1032561688
0.014324008  0.1154516459
0.014548079  0.1255214929
0.014600437  0.1366651778
0.014693878  0.1558971398
0.014827461  0.1558971398
0.014882201  0.1644672069
0.015112208  0.1922957186
0.015227505  0.2093711823
0.015402423  0.2023231871
0.015698212  0.191066157
0.015878698  0.191066157
0.015999681  0.1804354551
0.016122449  0.1783134186
0.016306939  0.1703962332
0.016540372  0.1674418106
0.016620098  0.1609155822
0.016939271  0.1512393428
0.01700599  0.1498235893
0.017264573  0.1415381381
0.017365204  0.1415381381
0.017574725  0.1415381381
0.017596123  0.1324592145
0.017755102  0.1324592145
0.017811457  0.1324592145
0.017934039  0.1239626558
0.017982502  0.1239626558
0.018278445  0.1160111064
0.018629465  0.1091595418
0.018987226  0.1037420146
0.019351857  0.09859335627
0.019591837  0.09859335627
0.019723491  0.09370022299
0.020102261  0.08904993319
0.020488306  0.08463043467
0.020881764  0.08032948246
0.021282778  0.07619545426
0.021691493  0.0722741772
0.021836735  0.0722741772
0.022108057  0.06855470239
0.022532621  0.06491028363
0.022965338  0.06129707956
0.023406365  0.057885003
0.023673469  0.057885003
0.023855862  0.05466285826
0.024313991  0.05162007289
0.024780918  0.04874666289
0.025256811  0.0458791228
0.025741844  0.04297527836
0.026236191  0.04025522803
0.026530612  0.04025522803
0.026740032  0.03770733886
0.027253548  0.03532071419
0.027776926  0.03343590412
0.028310355  0.03175056262
0.028854028  0.030150171
0.028979592  0.030150171
0.029408142  0.02863044734
0.029972897  0.02718732557
0.030548497  0.02579869078
0.031135152  0.02438946237
0.031733072  0.02305721169
0.032244898  0.02305721169
0.032342475  0.02179773391
0.032963581  0.02060705388
0.033596615  0.01943961999
0.034241805  0.01832109835
0.034899386  0.01726693449
0.035102041  0.01726693449
0.035569595  0.01627342536
0.036252675  0.01533659207
0.036948872  0.01443062683
0.03765844  0.01357817889
0.038367347  0.01277608686
0.038381634  0.01277608686
0.039118716  0.01202137613
0.039869953  0.01133388945
0.040635617  0.01070997653
0.041415984  0.01012040904
0.041836735  0.01012040904
0.042211338  0.009563296318
0.043021966  0.009036851783
0.043848162  0.008530446865
0.044690223  0.008036182419
0.045548456  0.007570556255
0.046122449  0.007570556255
0.04642317  0.007131909037
0.047314682  0.006718677571
0.048223315  0.006330437486
0.049149397  0.005991221534
0.050093263  0.00567018244
0.051020408  0.00567018244
0.051055256  0.005366346198
0.052035723  0.005078790996
0.053035019  0.004803216814
0.054053505  0.004539403561
0.05509155  0.004290080062
0.055614105  0.004290080062
0.05614953  0.004054450478
0.057227828  0.003834335645
0.058326833  0.003628480621
0.059446943  0.003433677392
0.06  0.003433677392
0.060588564  0.003249332617
0.061752109  0.003074884811
0.062937999  0.002906008213
0.064146662  0.002745086185
0.065378537  0.002593075314
0.065714286  0.002593075314
0.066634068  0.002448999572
0.067913711  0.002311607007
0.069217928  0.002181922372
0.070204082  0.002181922372
0.070547192  0.00205951324
0.071901982  0.001944032494
0.07328279  0.001835373709
0.074690115  0.001732788245
0.075918367  0.001672999079
0.076124467  0.001633782915
0.077586364  0.001537256857
0.079076335  0.001446433687
0.08  0.001446433687
0.080594919  0.001360113267
0.082142667  0.001273942054
0.083720137  0.001193230296
0.085102041  0.001141055031
0.085327902  0.001119903334
0.086966541  0.001055692389
0.08863665  0.0009951630526
0.089795918  0.0009611872978
0.090338831  0.0009367683379
0.092073701  0.0008800062227
0.093841887  0.0008268283938
0.094897959  0.0007998236554
0.09564403  0.0007782489345
0.097480781  0.0007324159722
0.099183673  0.0007324159722
0.099352805  0.0006889725355
0.1  0.0006889725355
0.100394639  0.0006889725355
0.10126078  0.0006481059571
0.102722417  0.0006365563507
0.103205395  0.0006113782997
0.105187355  0.0005774071937
0.107207376  0.0005450447109
0.107808742  0.0005450447109
0.10926619  0.0005124121202
0.111364542  0.0004817332884
0.113261719  0.0004770196304
0.11350319  0.0004210207824
0.115682909  0.0003403308227
0.117904488  0.0003233638168
0.118262231  0.0003233638168
0.120168729  0.0003072426917
0.121908143  0.0003072426917
0.122476454  0.0002919252764
0.123691805  0.0002919252764
0.124828496  0.0002773715024
0.127225706  0.0002635432988
0.129611288  0.0002504044927
0.129668953  0.0002504044927
0.13215912  0.0002379207145
0.133812447  0.0002379207145
0.134697108  0.0002260593082
0.137283836  0.0002147892458
0.137917132  0.000213116696
0.139920239  0.0002040810462
0.142607272  0.0001939066979
0.143612723  0.0001939066979
0.145345907  0.0001842395862
0.145769151  0.0001842395862
0.147792039  0.0001842395862
0.148137134  0.0001750544231
0.150981965  0.0001669807288
0.153117597  0.0001669807288
0.153881427  0.0001595637199
