event,	id,	pt,	eta,	phi,	momentum,	mass
11113,	-6000113,	11.6694,	-1.37313,	0.0296655,	24.5116,	15
11114,	6000113,	72.4536,	1.29364,	0.568869,	142.021,	15
11114,	-6000113,	31.8166,	-0.766155,	1.58641,	41.6205,	15
11115,	6000113,	63.4313,	-2.13619,	-2.15399,	272.286,	15
11115,	-6000113,	74.0771,	-1.26947,	0.334176,	142.226,	15
11116,	6000113,	35.4572,	-1.72141,	0.746676,	102.316,	15
11116,	-6000113,	185.125,	-0.593966,	2.84289,	218.752,	15
11117,	6000113,	90.1645,	0.861372,	-1.68541,	125.734,	15
11117,	-6000113,	20.358,	3.24005,	0.940987,	260.318,	15
11118,	6000113,	75.9637,	-0.214983,	-0.871045,	77.7259,	15
11118,	-6000113,	40.5625,	-1.74377,	2.54695,	119.532,	15
11119,	6000113,	96.7198,	-0.419084,	1.33705,	105.338,	15
11119,	-6000113,	62.0729,	-0.180742,	-3.13227,	63.0895,	15
11120,	6000113,	27.6617,	0.827418,	3.04441,	37.6833,	15
11120,	-6000113,	93.5697,	2.09238,	-0.0803974,	384.925,	15
11121,	6000113,	73.2062,	2.10205,	-1.27275,	303.994,	15
11121,	-6000113,	46.8965,	1.24907,	1.35297,	88.4902,	15
11122,	6000113,	35.3809,	2.70451,	2.36024,	265.603,	15
11122,	-6000113,	115.927,	2.60362,	-1.34742,	787.521,	15
11123,	6000113,	37.1239,	-2.34199,	0.47042,	194.865,	15
11123,	-6000113,	59.1963,	-0.595857,	-1.9808,	70.0197,	15
11124,	6000113,	55.886,	-0.730593,	1.02113,	71.4764,	15
11124,	-6000113,	52.0507,	0.459104,	-1.40329,	57.6332,	15
11125,	6000113,	68.8958,	-2.665,	2.95192,	497.342,	15
11125,	-6000113,	58.2674,	-2.8959,	-0.508144,	528.925,	15
11126,	6000113,	22.4764,	1.3699,	-1.02766,	47.0779,	15
11126,	-6000113,	16.5852,	4.89475,	-1.88925,	1107.84,	15
11127,	6000113,	171.997,	-2.51235,	2.76965,	1067.67,	15
11127,	-6000113,	4.58392,	-5.34323,	0.00123949,	479.458,	15
11128,	6000113,	51.6521,	1.63938,	-3.09079,	138.068,	15
11128,	-6000113,	65.9243,	2.52111,	-0.306864,	412.777,	15
