u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator
2.185918320939788e-08,0.006459904717016077,False,False,1532728.0572376135,6.222570836730231e-05,True,1.1,Umu,762956,5664,5664,100,exact
2.1344022056972524e-08,0.005487806677771056,False,False,1182078.4880457295,4.824108704165374e-05,True,1.125,Umu,762956,5629,5629,100,exact
2.0807865711363147e-08,0.004722050518934508,False,False,1080134.855625978,4.824108704165374e-05,True,1.15,Umu,762956,5653,5653,100,exact
1.899602814261872e-08,0.004121361154653427,False,False,1072989.3094661525,4.2475715525369026e-05,True,1.175,Umu,762956,5675,5675,100,exact
1.8510947064509697e-08,0.003608283138226201,False,False,898378.8275247596,3.739937302478802e-05,True,1.2,Umu,762956,5617,5617,100,exact
1.7037888859983513e-08,0.003145672870218931,False,False,767484.1365139284,3.292971255097155e-05,True,1.225,Umu,762956,5610,5610,100,exact
1.736664825080216e-08,0.0027378831375155866,False,False,666298.2708886552,3.292971255097155e-05,True,1.25,Umu,762956,5532,5532,100,exact
1.582110291269885e-08,0.002404907034075997,False,False,629872.1278814902,2.552908068239522e-05,True,1.275,Umu,762956,5582,5582,100,exact
1.6211733421015494e-08,0.00212421442290907,False,False,502652.00531386584,2.552908068239522e-05,True,1.3,Umu,762956,5546,5546,100,exact
1.530398812218868e-08,0.0018668740599590433,False,False,399970.79919628653,2.24780583354873e-05,True,1.325,Umu,762956,5582,5582,100,exact
1.4503296824674984e-08,0.001645289536582463,False,False,405992.4096265944,2.24780583354873e-05,True,1.35,Umu,762956,5549,5549,100,exact
1.4071501634531949e-08,0.001461178954824009,False,False,343420.71333865466,1.742633386009651e-05,True,1.375,Umu,762956,5604,5604,100,exact
1.3187174280293805e-08,0.0012898450654972185,False,False,298433.42980612104,1.5343684089300132e-05,True,1.4,Umu,762956,5457,5457,100,exact
1.3971725503635892e-08,0.0011340966416687117,False,False,249531.64713936285,1.5343684089300132e-05,True,1.425,Umu,762956,5485,5485,100,exact
1.2876507912950333e-08,0.0010102381753666835,False,False,219353.40737768018,1.3509935211980278e-05,True,1.45,Umu,762956,5544,5544,100,exact
1.2753500787684453e-08,0.0008943169960642843,False,False,205290.12733249136,1.1895340673703208e-05,True,1.475,Umu,762956,5449,5449,100,exact
1.2500682296548091e-08,0.0007971302990998793,False,False,168637.64430007612,1.0473708979594508e-05,True,1.5,Umu,762956,5434,5434,100,exact
1.2794412693301104e-08,0.0007195838593680918,False,False,148729.25860148802,1.0473708979594508e-05,True,1.525,Umu,762956,5455,5455,100,exact
1.2882667160589643e-08,0.000657910223491749,False,False,112134.53911284245,9.221978823334342e-06,True,1.55,Umu,762956,5468,5468,100,exact
1.309082834016284e-08,0.0005887842262350296,False,False,98036.02137079851,9.221978823334342e-06,True,1.575,Umu,762956,5482,5482,100,exact
1.2786049098407696e-08,0.0005245097402906382,False,False,85844.62711368626,8.119844993184025e-06,True,1.6,Umu,762956,5568,5568,100,exact
1.2543040848805132e-08,0.00046729794054100346,False,False,78369.67684466623,8.119844993184025e-06,True,1.625,Umu,762957,5421,5421,100,exact
1.307348552965775e-08,0.0004192283977102477,False,False,59704.09351215589,7.1494289865975915e-06,True,1.65,Umu,762957,5428,5428,100,exact
1.3726086746195477e-08,0.00039443170545989514,False,False,43026.12491650736,6.294988990221888e-06,True,1.675,Umu,499999,3955,3955,100,exact
1.3804538863901708e-08,0.0003498760227224627,False,False,37839.016918710084,5.542664520663107e-06,True,1.7,Umu,499999,3914,3914,100,exact
1.4641877141008363e-08,0.00031441037631160524,False,False,30771.03812835363,5.542664520663107e-06,True,1.725,Umu,499999,3924,3924,100,exact
1.4575764044192245e-08,0.00028095917946234056,False,False,26436.43387390091,4.880251583654434e-06,True,1.75,Umu,499999,3976,3976,100,exact
1.576682800332998e-08,0.0002525042660419305,False,False,19738.53759368733,4.880251583654434e-06,True,1.775,Umu,499999,3907,3907,100,exact
1.675616602581315e-08,0.00023109550843211348,False,False,14176.667582597112,4.297004704320844e-06,True,1.8,Umu,499999,3980,3980,100,exact
1.8329696177129503e-08,0.0002080903022482785,False,False,10845.870109688098,4.297004704320844e-06,True,1.825,Umu,499999,3858,3858,100,exact
2.047578040997789e-08,0.00019067982571755701,False,False,7118.793869560204,3.7834626171319327e-06,True,1.85,Umu,499999,3944,3944,100,exact
2.5244359178594776e-08,0.00017157163882535118,False,False,3959.098356025724,3.7834626171319327e-06,True,1.875,Umu,399999,3076,3076,100,exact
2.3947242050642717e-08,0.00015713373172163828,False,False,3854.1763131384264,3.7834626171319327e-06,True,1.9,Umu,399999,3130,3130,100,exact
2.453155077566134e-08,0.0001438050455670228,False,False,3174.313516687386,3.3312947879346767e-06,True,1.925,Umu,399999,3106,3106,100,exact
2.3881241812413382e-08,0.0001301700826657188,False,False,2825.2992537072587,2.9331662783900485e-06,True,1.95,Umu,399999,3184,3184,100,exact
2.4401599771615304e-08,0.0001181723232353141,False,False,2806.2078207708987,2.9331662783900485e-06,True,1.975,Umu,399999,3145,3145,100,exact
2.2994911032611913e-08,0.00010953431083472047,False,False,2675.168919425317,2.58261876068268e-06,True,2.0,Umu,399999,3107,3107,100,exact
2.472261006971413e-08,5.38089333080389e-05,False,False,859.4712783585748,1.762914118095948e-06,True,2.2,Umu,399999,3102,3102,100,exact
2.5081331330455615e-08,2.8175360747981662e-05,False,False,306.67777028495874,9.329304026284696e-07,True,2.4,Umu,399999,3015,3015,100,exact
3.074715095704415e-08,1.5138896749369346e-05,False,False,100.94091551082774,6.368249944718587e-07,True,2.6,Umu,399999,2979,2979,100,exact
4.224112957246973e-08,8.386262627521861e-06,False,False,29.776416340250705,4.3470131581250264e-07,True,2.8,Umu,399999,2953,2953,100,exact
7.461521174694733e-08,4.6171348626797014e-06,False,False,9.78845974853691,1.2033778407775905e-06,True,3.0,Umu,399999,2912,2912,100,exact
1.0759816416390998e-07,2.5767574959845154e-06,False,False,6.519395777042326,9.329304026284696e-07,True,3.2,Umu,399999,2998,2998,100,exact
1.4218946471088714e-07,1.415927469415186e-06,False,False,4.511116246238873,6.368249944718587e-07,True,3.4,Umu,299999,2303,2303,100,exact
2.6894207699902246e-07,6.989418593912581e-07,False,False,3.318765209814664,4.937047852839004e-07,True,3.6,Umu,299999,2291,2291,100,exact
,,False,False,2.249383124747829,3.370064329271932e-07,False,3.8,Umu,299999,2213,2213,100,exact
,,False,False,1.6415714115906412,2.6126752255633317e-07,False,4.0,Umu,299999,2219,2219,100,exact
,,False,False,1.1672186044615216,1.7834308769319093e-07,False,4.2,Umu,299999,2245,2245,100,exact
,,False,False,0.8759713577210338,1.3826221737646564e-07,False,4.4,Umu,299999,2114,2114,100,exact
,,False,False,0.6526249573647209,1.0718913192051286e-07,False,4.6,Umu,299999,2087,2087,100,exact
,,False,False,0.4926630183931845,8.309941949353404e-08,False,4.8,Umu,300000,2101,2101,100,exact
,,False,False,0.39839808203692056,6.442363508721383e-08,False,5.0,Umu,300000,2191,2191,100,exact
,,False,False,0.28636137036220055,4.99450511585514e-08,False,5.2,Umu,200000,1414,1414,100,exact
,,False,False,0.23512560949853958,4.3976036093027214e-08,False,5.4,Umu,200000,1417,1417,100,exact
,,False,False,0.20924431423982381,3.872038781812557e-08,False,5.5,Umu,200000,1375,1375,100,exact
,,False,False,0.19138569144178716,3.409285069746814e-08,False,5.6,Umu,200000,1390,1390,100,exact
,,False,False,0.14858359222352188,2.6430814869741084e-08,False,5.8,Umu,200000,1375,1375,100,exact
,,False,False,0.12405281737136825,2.0490746898158502e-08,False,6.0,Umu,200000,1388,1388,100,exact
,,False,False,0.10395899101312416,1.8041864093920717e-08,False,6.2,Umu,100000,738,738,100,exact
,,False,False,0.08603554659885139,1.3987131026472387e-08,False,6.4,Umu,100000,752,752,100,exact
