event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
106,9900015,32.2736,1.50593,2.33115,76.3298,15,15.255398907098932,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
107,-9900015,2.31735,1.94902,2.93845,8.301,15,1.6590514625720003,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
108,-9900015,32.8217,-3.47252,-1.68404,529.234,15,105.77357447811468,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
108,-9900015,32.8217,-3.47252,-1.68404,529.234,15,105.77357447811468,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
109,9900015,30.178,1.12933,-2.085,51.5565,15,10.304166573918002,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
110,9900015,15.25,-4.83434,-2.01575,958.948,15,191.65691867612267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
110,9900015,15.2489,-4.83435,-2.01575,958.883,15,191.64392766960938,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
111,9900015,4.24186,-2.03855,-0.0624749,16.5638,15,3.3104682105469343,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
111,9900015,4.24186,-2.03855,-0.0624749,16.5638,15,3.3104682105469343,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
112,-9900015,36.8625,0.738103,0.652131,47.368,15,9.467046100362667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
113,9900015,38.1606,4.28773,-1.93262,1389.33,15,277.67377044876,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
