# Job started on: Sat Feb 21 16:27:05 CET 2026 ..
# FONLL heavy quark hadroproduction cross section, calculated on Sat Feb 21 16:27:23 CET 2026
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 7000, ebeam2 = 7000
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# ymin  = -3
# ymax  = 3
# cross section is ds/dpt/dy (pb/GeV)
# pt         y       central
   1.5152   -1.0000 2.8364e+08
   1.5152   -0.9394 2.8406e+08
   1.5152   -0.8788 2.8445e+08
   1.5152   -0.8182 2.8481e+08
   1.5152   -0.7576 2.8515e+08
   1.5152   -0.6970 2.8546e+08
   1.5152   -0.6364 2.8575e+08
   1.5152   -0.5758 2.8601e+08
   1.5152   -0.5152 2.8624e+08
   1.5152   -0.4545 2.8646e+08
   1.5152   -0.3939 2.8664e+08
   1.5152   -0.3333 2.8681e+08
   1.5152   -0.2727 2.8695e+08
   1.5152   -0.2121 2.8706e+08
   1.5152   -0.1515 2.8715e+08
   1.5152   -0.0909 2.8722e+08
   1.5152   -0.0303 2.8725e+08
   1.5152    0.0303 2.8725e+08
   1.5152    0.0909 2.8722e+08
   1.5152    0.1515 2.8715e+08
   1.5152    0.2121 2.8706e+08
   1.5152    0.2727 2.8695e+08
   1.5152    0.3333 2.8681e+08
   1.5152    0.3939 2.8664e+08
   1.5152    0.4545 2.8646e+08
   1.5152    0.5152 2.8624e+08
   1.5152    0.5758 2.8601e+08
   1.5152    0.6364 2.8575e+08
   1.5152    0.6970 2.8546e+08
   1.5152    0.7576 2.8515e+08
   1.5152    0.8182 2.8481e+08
   1.5152    0.8788 2.8445e+08
   1.5152    0.9394 2.8406e+08
   1.5152    1.0000 2.8364e+08
   1.5152    1.0606 2.8320e+08
   1.5152    1.1212 2.8272e+08
   1.5152    1.1818 2.8222e+08
   1.5152    1.2424 2.8169e+08
   1.5152    1.3030 2.8113e+08
   1.5152    1.3636 2.8053e+08
   1.5152    1.4242 2.7991e+08
