mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
1.32,1199988,12880,True,44.64036422147928,6.150199499179204e-08,1.623054369706123e-08,1.905950255955972e-07,False,False,22942.20942646411,2211.0465796490976,0.001659256816491329,22362.615713926483,1829.3361550447491,0.0024855618971485454,4747.817967285153,430.35256635945916,0.010997206122054385,
1.33,1199988,12715,True,42.814614240835354,5.95749798353295e-08,1.610750178090679e-08,1.7941075794538955e-07,False,False,22715.130450337365,2212.665898415088,0.0019890549382883416,21181.604945420826,1836.5144105813376,0.0020504035124407037,4348.7141550923,411.87019224281585,0.012678037781521294,
1.34,1199988,12747,True,39.41454443730959,5.6437111277238215e-08,1.5883802395561705e-08,1.7031929080894468e-07,False,False,22410.912553582955,2248.5663954387473,0.001897165920941809,21052.506558543206,1855.6212321219516,0.002273343419003707,4830.921880194733,488.3134586831246,0.012384562408478794,
1.35,1199988,12615,True,37.41922567801767,5.473393809690911e-08,1.5537982019039687e-08,1.631766901939309e-07,False,False,21685.933287746117,2198.2926553280804,0.0020758206752891795,21171.317166267643,1920.4927074503348,0.0021526076830785112,4694.645664116209,459.2008757217398,0.012859081400400393,
1.36,1199988,12694,True,35.994131626524485,5.424190133629379e-08,1.5434185196167772e-08,1.5908713039998047e-07,False,False,21722.242436370572,2212.3888476828956,0.0019041360515933859,20224.74079361916,1840.0198901895717,0.002829753866863885,4598.5591534482755,461.45663412694194,0.011327628315446573,
1.37,1199988,12676,True,32.926248007562954,5.172110966809876e-08,1.5334324822932773e-08,1.5295683324904705e-07,False,False,21172.309877312025,2192.5921816998984,0.001806571375896331,20402.25190589695,1884.0135330370315,0.0025694680521973256,4402.579059664912,443.2515730656925,0.012077164628513722,
1.38,1199988,12642,True,31.85675615787061,5.1247352645415106e-08,1.524419333519763e-08,1.478394065423336e-07,False,False,21325.789676530978,2189.402342941858,0.0018217983155771804,19682.477884567248,1811.3999710533885,0.002101261414073519,3857.5304528191273,395.4920968784217,0.013976701432828531,
1.39,1199988,12709,True,30.210351916117812,4.973233743895962e-08,1.5103661776916128e-08,1.4024333353483366e-07,False,False,21504.645015569113,2200.6632813167525,0.002052524217520542,19356.305795332646,1803.741289535559,0.0023351481770995655,4656.206589710571,474.5451290186774,0.01149720640172085,
1.4,1199988,12539,True,28.407842456403127,4.8130947963921875e-08,1.4823964688517674e-08,1.3307632626553206e-07,False,False,21414.97601777351,2197.7744435040104,0.0018046455344574016,19652.340582191064,1823.4871629347458,0.002333394279416129,4806.6857279212045,505.46518904716794,0.012251595809913824,
1.41,1199988,12511,True,26.44416482036271,4.668902541553993e-08,1.4787220889141472e-08,1.2796481420672978e-07,False,False,20664.77735078054,2156.4738987614564,0.0019496215843129144,19548.637317759454,1815.4083028359169,0.002319931431935993,4549.862393322599,487.3913328933618,0.010109466078148287,
1.42,1199988,12636,True,25.12089793313038,4.626079873007706e-08,1.474778128530979e-08,1.2236479495368063e-07,False,False,21600.859039333813,2228.280129791082,0.002511098990163916,19507.063086064012,1815.7363518284621,0.001892092386237559,5498.783544897463,540.1439544730185,0.010813081028000155,
1.43,1199988,12510,True,24.958599688168075,4.510843701456537e-08,1.4485605138797948e-08,1.1972161385172015e-07,False,False,22145.66431506049,2255.655867705808,0.0016108321074507818,18938.622117735675,1758.5557622639749,0.002237652821397888,4398.5636923414995,456.9734796112604,0.0107232631240037,
1.44,1199988,12738,True,23.97578662954974,4.341783371200457e-08,1.4228624802789505e-08,1.1614081950404597e-07,False,False,22727.996494877872,2342.6180330924735,0.0014928752617460676,20507.93205773515,1892.9517572318712,0.0025803822676739867,4262.722415730117,438.92681266698395,0.01207196317730402,
1.45,1199988,12719,True,22.86908357456211,4.2968388564685317e-08,1.4176075209113679e-08,1.1163813521329552e-07,False,False,22744.343062616103,2316.3918012120766,0.0017630699789212647,20104.307275938125,1837.196446954745,0.0020896162834415657,5153.024652239922,537.5022283345502,0.00875072335080845,
1.46,1199988,12670,True,21.76035162536901,4.1967627136401606e-08,1.4079205444613428e-08,1.0849180142649973e-07,False,False,23410.039987220964,2318.040179682302,0.001576962755576058,19882.35655363293,1785.6429980118003,0.0021328029379613874,5083.725437247235,501.82812138668214,0.011710712757814363,
1.47,1199988,12681,True,21.35411409634364,4.086951966005994e-08,1.3899293157994931e-08,1.0735330152406527e-07,False,False,22871.07607833607,2246.989525410899,0.0016075398267744781,20968.142283084948,1891.8138746148322,0.0022140268575950826,4449.210460157117,459.9245273280124,0.01201334555541401,
1.48,1199988,12807,True,20.738125005340343,4.0979777744692215e-08,1.3947669599672556e-08,1.0393460557037573e-07,False,False,24217.11019035967,2400.259993427483,0.001659113813649159,20517.355297711776,1845.5849237440464,0.0018595992001768505,5081.653953357344,517.6950397173158,0.010593083755793922,
