variation,axis,mass_GeV,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,central_has_sensitivity,central_peak_N,central_peak_invf,central_invf_min,central_invf_max,central_invf_min_open,central_invf_max_open,restores_sensitivity,removes_sensitivity,topology_differs,comparison_role,included_in_pointwise_halo
decay_2310_structural,decay_structure,1.43,True,24.958599688168075,4.510843701456537e-08,1.4485605138797948e-08,1.1972161385172018e-07,False,False,False,1.7778285144276798,1.2218980913049734e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.44,True,23.97578662954974,4.3417833712004575e-08,1.4228624802789504e-08,1.1614081950404597e-07,False,False,False,1.1050621182050442,9.435738785999605e-09,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.45,True,22.86908357456211,4.296838856468532e-08,1.417607520911368e-08,1.1163813521329553e-07,False,False,False,1.401168841287345,1.0741080357675463e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.46,True,21.76035162536901,4.1967627136401606e-08,1.4079205444613428e-08,1.0849180142649973e-07,False,False,False,2.1793623273324068,1.3321718805736448e-08,,,False,False,True,False,True,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.47,True,21.35411409634364,4.0869519660059944e-08,1.3899293157994931e-08,1.073533015240653e-07,False,False,True,3.034478559714298,1.5589423761425406e-08,1.4486640091030544e-08,1.6765072975303912e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.48,True,20.738125005340343,4.0979777744692215e-08,1.3947669599672556e-08,1.0393460557037573e-07,False,False,True,3.745995131367646,1.7501909637281772e-08,1.2510807565237694e-08,2.4130080192493853e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.49,True,19.43255587348201,3.977573936531059e-08,1.384684036939792e-08,9.974589674699992e-08,False,False,True,4.150303482438644,1.8567081553580884e-08,1.2363913025954532e-08,2.721575413619203e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.5,True,18.207861045254045,3.912343517998322e-08,1.3858052397106113e-08,9.736569630182004e-08,False,False,True,4.392856203378626,1.9471406574139833e-08,1.2430878289784457e-08,2.9788807511940325e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.51,True,18.447016915132263,3.899527360294702e-08,1.3740021867125564e-08,9.570062545675305e-08,False,False,True,4.845809924614259,2.0397301356564138e-08,1.2349764565716877e-08,3.246449675390072e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.52,True,17.915546245045228,3.8098014890702657e-08,1.3689456959948025e-08,9.512935584807837e-08,False,False,True,5.224743502835141,2.0915577732424404e-08,1.2230051008705271e-08,3.481685072264758e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.53,True,17.83790917188348,3.8192000344066764e-08,1.3705217535582106e-08,9.242248664764509e-08,False,False,True,5.729156645957105,2.1757841492978493e-08,1.2159811640676966e-08,3.682804320568626e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.54,True,16.70255262808483,3.631887987118251e-08,1.350505092057556e-08,8.833244388756402e-08,False,False,True,5.626682808718573,2.1454062218131132e-08,1.2236364465928945e-08,3.613758339073433e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.55,True,16.57322169813311,3.6963941839839914e-08,1.3552055203511829e-08,8.870748830390066e-08,False,False,True,6.019966501500855,2.2655827112263645e-08,1.2288733841392812e-08,3.975434724085354e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.56,True,16.456778081844682,3.6926141849883125e-08,1.3606921264286411e-08,8.814290660419564e-08,False,False,True,6.304203933734605,2.3145216785959128e-08,1.2363227300192021e-08,4.092028791011509e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.57,True,16.18696110834908,3.6295728494597787e-08,1.3522505846963465e-08,8.518705100437988e-08,False,False,True,6.405341638667585,2.3285155714139512e-08,1.2385154471463676e-08,4.1199935702609615e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.58,True,16.1833918443033,3.626578060213208e-08,1.3449318605700093e-08,8.72793776213985e-08,False,False,True,6.746095008625386,2.3829486335179438e-08,1.233639766948731e-08,4.363953618670235e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.59,True,15.294382215695943,3.5349546455892485e-08,1.3341841176145294e-08,8.527005507536454e-08,False,False,True,6.647183047611403,2.3660568476592343e-08,1.2334901756629661e-08,4.3815306503622646e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.6,True,15.104256442127337,3.447735740379197e-08,1.3138123361708256e-08,8.062290038385577e-08,False,False,True,6.925541304893111,2.3988616712211025e-08,1.2303864874313485e-08,4.4142449679999374e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.65,True,13.904285514451937,3.3489057258209694e-08,1.3208810037287014e-08,7.752403080199536e-08,False,False,True,7.444522310642357,2.5000001123314586e-08,1.2505892482208773e-08,4.7590318197272465e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.7,True,14.019051312922793,3.311351111165557e-08,1.2957136160471424e-08,7.464868731906525e-08,False,False,True,8.386589495248849,2.6218462509188832e-08,1.2456156850308681e-08,5.0918775089950464e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.75,True,14.290147121805388,3.3289071626497776e-08,1.2946263576712255e-08,7.621181579005067e-08,False,False,True,9.2749864715722,2.7471718831991074e-08,1.2554799864636237e-08,5.5010921077368784e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.8,True,15.468510540858995,3.489183789047674e-08,1.3161400128071788e-08,8.169297261915291e-08,False,False,True,10.580262004848532,2.9476135629850297e-08,1.2747986667154809e-08,6.205737504842002e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.85,True,16.619078378570546,3.669332098312359e-08,1.3596807112791454e-08,8.891662681795034e-08,False,False,True,11.900987258086769,3.1742479891296584e-08,1.3240175422513756e-08,7.009723372345479e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.9,True,19.940464646248635,3.9950658881303055e-08,1.3923525813067452e-08,9.975855608286635e-08,False,False,True,15.001372197815202,3.5251461724667756e-08,1.3537450625276236e-08,8.230091451359903e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,1.95,True,24.81715023770959,4.3247710135154746e-08,1.4165791014507212e-08,1.1245687043511554e-07,False,False,True,19.136511924804545,3.872171840569238e-08,1.3805677372785112e-08,9.460141784588764e-08,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.0,True,26.46362470261405,4.7511262601529406e-08,1.515736988083835e-08,1.2460279278929228e-07,False,False,True,21.7575429100209,4.255952522811905e-08,1.4363390835266958e-08,1.072135198306824e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.05,True,25.22300535510473,4.5941459313169374e-08,1.5003951038039486e-08,1.2023038339672778e-07,False,False,True,21.79158585863362,4.2282632149313873e-08,1.4432662715763704e-08,1.0764575674419853e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.1,True,23.207852933478115,4.45552368492883e-08,1.4920010581783978e-08,1.162195643058679e-07,False,False,True,21.433345076090713,4.2349106645312665e-08,1.4518105200803262e-08,1.0868994194309826e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.15,True,22.37540874279844,4.4554947104695096e-08,1.5013488765113992e-08,1.1243488366546202e-07,False,False,True,22.31771283384728,4.3513348418231933e-08,1.4634108964177649e-08,1.1036323684244535e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.2,True,22.478559006233876,4.3834605543339314e-08,1.4898720789523922e-08,1.099074825687896e-07,False,False,True,22.435472883194816,4.3790200500598075e-08,1.4914163022640634e-08,1.0978047316663543e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.25,True,21.94315482596846,4.2771306284098124e-08,1.4713466853767017e-08,1.0592420748525715e-07,False,False,True,21.87576191105354,4.2814670703294974e-08,1.4751469508392862e-08,1.0591893014822594e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
decay_2310_structural,decay_structure,2.3,True,21.357673606316133,4.308169890006046e-08,1.4850270134232826e-08,1.0609701112446214e-07,False,False,True,21.362241051717177,4.3071467705343495e-08,1.4839217840196418e-08,1.0574253972434372e-07,False,False,False,False,False,one_sided_structural_model_comparison,False
