variation,axis,mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,exclusion_reason,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction
central,central,3.4,599994,4398,False,2.623033549939474,2.078383818579755e-08,,,False,False,,,,,,,,,,
central,central,3.5,599994,4409,False,2.0874872661545103,2.078383818579755e-08,,,False,False,,,,,,,,,,
central,central,3.6,533328,3795,False,0.7702092157237246,1.2696351276599728e-08,,,False,False,,,,,,,,,,
central,central,3.7,533328,3787,False,0.4917129944316152,1.1224505680853058e-08,,,False,False,,,,,,,,,,
central,central,3.8,533328,3820,False,0.2877478739016648,8.248746552614582e-09,,,False,False,,,,,,,,,,
central,central,3.9,266664,1945,False,0.1908350904419574,7.292496916841445e-09,,,False,False,,,,,,,,,,
central,central,4.0,266664,1891,False,0.1409738303977892,6.856782936641738e-09,,,False,False,,,,,,,,,,
central,central,4.1,199998,1384,False,0.0988083878289305,6.4471021073238704e-09,,,False,False,,,,,,,,,,
central,central,4.2,199998,1361,False,0.084431836734933,6.061898993497572e-09,,,False,False,,,,,,,,,,
central,central,4.3,199998,1446,False,0.0674681200536372,5.699711094326075e-09,,,False,False,,,,,,,,,,
central,central,4.4,133332,905,False,0.040998499020729,5.359163290848515e-09,,,False,False,,,,,,,,,,
central,central,4.5,66666,452,False,0.0373173897313507,5.359163290848515e-09,,,False,False,,,,,,,,,,
central,central,4.6,66666,441,False,0.0355571290452213,5.359163290848515e-09,,,False,False,,,,,,,,,,
central,central,4.65,66666,452,False,0.0280229413380277,5.03896262506515e-09,,,False,False,,,,,,,,,,
central,central,4.7,66666,446,False,0.0222168749404452,5.03896262506515e-09,,,False,False,,,,,,,,,,
central,central,4.75,66666,452,False,0.0149386107193982,5.03896262506515e-09,,,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.22,599994,6245,True,130242.3745231876,2.8720631177978283e-06,9.150487109912909e-08,1.7735066266010137e-05,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.24,599994,6364,True,84107.8684949336,2.244763378413224e-06,7.749238989678889e-08,1.5035832468055802e-05,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.26,599994,6140,True,55009.10871780883,1.865962923181746e-06,7.188761038406983e-08,1.398136286758299e-05,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.28,599994,6174,True,42834.7439613121,1.6496480740980203e-06,6.687645156660284e-08,9.662084815784236e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.3,599994,6087,True,34011.662933793865,1.4584098829439864e-06,6.356523724101311e-08,9.19268059112686e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.32,599994,6276,True,28533.207444854896,1.371272434398401e-06,6.004887146051276e-08,8.774028511352343e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.34,599994,6249,True,23321.02848908561,1.2893412965257158e-06,5.7897704045193024e-08,8.257882171194349e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.36,599994,6246,True,21172.185519476596,1.1398722666160524e-06,5.62275535801272e-08,6.786627184761104e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.38,599994,6065,True,18164.72475352522,1.0717668854455034e-06,5.4572932998210785e-08,6.5419345307490224e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.4,599994,6224,True,15776.366262224888,1.0077306820944618e-06,5.286837825022017e-08,5.985101103295555e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.42,599994,6162,True,14120.458230746171,9.475205302806548e-07,5.1313805725643596e-08,5.613197265860647e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.44,599994,6163,True,12927.704028874392,8.909078300934143e-07,4.984009352428621e-08,5.721333344047142e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.46,599994,6108,True,11693.003352232216,8.376776400682924e-07,4.8459709581279895e-08,5.13442402221989e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.48,599994,5960,True,10677.003253639838,7.876278611187062e-07,4.798863386375366e-08,5.146214952152913e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.5,599994,5986,True,9650.773866596655,7.405684692262443e-07,4.6554435199502673e-08,4.550965005840443e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.52,599994,6095,True,9206.980791813365,7.405684692262443e-07,4.563284100420872e-08,4.992503980653319e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.54,0,0,False,,,,,False,False,unsupported eta resonance,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.56,599994,5956,True,8063.84219259524,6.96320793976389e-07,4.4414713967341565e-08,4.114992704394395e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.58,599994,6057,True,7295.680091247944,6.547168402004742e-07,4.3015951807100354e-08,3.832851095693349e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.6,599994,6052,True,6692.7690185646625,6.155986501483502e-07,4.2244078700506256e-08,3.7796237357311423e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.62,599994,5923,True,6534.03078171427,6.155986501483502e-07,4.1799835379401907e-08,3.372860459697164e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.64,599994,5819,True,5963.34701506707,5.788177037701268e-07,4.1560277687287644e-08,3.69574921088136e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.66,599994,5921,True,5760.030368200802,5.788177037701268e-07,4.0957025509020193e-08,3.3924528012188406e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.68,599994,5882,True,5322.104231470904,5.44234354830026e-07,4.0139698677256804e-08,3.1625295108530603e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.7,599994,5902,True,5121.844178682119,5.44234354830026e-07,3.978376733752559e-08,3.309725931601488e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.72,599994,5789,True,4699.701730204796,5.117173007114599e-07,3.941495311401426e-08,3.2633797422447184e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.74,599994,5876,True,4666.141940201956,5.117173007114599e-07,3.861286222742156e-08,2.8988505150189876e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.76,599994,5896,True,4528.499757962109,5.117173007114599e-07,3.805368432005594e-08,2.6937374741434314e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.78,599994,5878,True,4081.938468333976,4.811430839003254e-07,3.778015950907061e-08,2.8901302429091995e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.8,599994,5730,True,3832.7847742547233,4.811430839003254e-07,3.77679563448754e-08,2.714744114788397e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.82,599994,5980,True,3866.081107025735,4.811430839003254e-07,3.687966547441896e-08,2.8807620618708794e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.84,599994,5812,True,3518.927621101814,4.523956232538049e-07,3.6495321063731444e-08,2.165633968559355e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.86,599994,5732,True,3415.213271815073,4.523956232538049e-07,3.6111551782168096e-08,2.303132393042661e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.88,599994,5882,True,3280.135641549476,4.2536577327503834e-07,3.557041530252733e-08,2.486080073461709e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.9,599994,5818,True,2921.4511309998193,4.2536577327503834e-07,3.5622567083934975e-08,2.1126846849469596e-06,False,False,,,,,,,,,,
scale_muR0p5_muF0p5,scale,0.92,599994,5816,True,2261.367169282694,3.760545399658168e-07,3.4111126431220954e-08,1.7862679177759016e-06,False,False,,,,,,,,,,
