"mass_GeV","width_coefficient_001","width_coefficient_002","width_coefficient_003","width_coefficient_004","width_coefficient_005","width_coefficient_006","width_coefficient_007","width_coefficient_008","width_coefficient_009","width_coefficient_010","width_coefficient_011","width_coefficient_012","width_coefficient_013","width_coefficient_014","width_coefficient_015","width_coefficient_016","width_coefficient_017","width_coefficient_018","width_coefficient_019","width_coefficient_020","width_coefficient_021","width_coefficient_022","width_coefficient_023","width_coefficient_024","width_coefficient_025","width_coefficient_026","width_coefficient_027","width_coefficient_028","width_coefficient_029","width_coefficient_030","width_coefficient_031","width_coefficient_032","width_coefficient_033","width_coefficient_034","width_coefficient_035","width_coefficient_036","width_coefficient_037","width_coefficient_038","width_coefficient_039","width_coefficient_040"
1.385,1.53662360527146e-8,0.000001938178806521541,0.0006698162919910292,0,0,0,0,0,0,0,0,0.0015289171128793915,0.0007860569271928836,0.000003407303084273985,0.000052875321622816505,0,0,0,0.000020249513216379752,0,7.156111776538269e-7,0,0.0014846922816966887,0.0014846922816966887,0.0005055287258672103,0.0004167964489200818,0,0.001567513216482183,0.00007157053837494743,0.06755111051608677,0.13181712918953697,0.00010748241009185586,0.00005246905875174682,0,1.1842413656486815e-7,0.000015519290266145394,0.000027584986554259864,0.0006717698370336035,0.2074944291576355,0.2081661989946691
1.3900000000000001,1.5421709857945515e-8,0.0000019438287765511865,0.0006722911970957598,0,0,0,0,0,0,0,0,0.0014970487834714428,0.0011781359922592278,0.0000037333599625480057,0.000056882413817400724,0,0,0,0.000020903668887842765,0,7.718905529209008e-7,0,0.0014700446347724952,0.0014700446347724952,0.0005000419137100905,0.00042961105365364727,0,0.0015593490675733968,0.00007233021004323033,0.06371951943854365,0.12439820540884666,0.00011560516534673607,0.00005390035942986271,0,1.2922393650090738e-7,0.000014194861817671621,0.000025310923676490105,0.000674250447582169,0.1965857630050743,0.19726001345265648
1.395,1.5477183663073153e-8,0.0000019497826466469357,0.0006747658942605282,0,0,0,0,0,0,0,0,0.0015551523032374713,0.0017852514914541457,0.000004082278358383437,0.00006117965315529319,0,0,0,0.000021558176865157823,0,8.330028731443788e-7,0,0.0015530724820337688,0.0015530724820337688,0.0005644113889894093,0.0005163153628011801,0,0.0016633856368473417,0.00007310388069680106,0.06041103492485817,0.11796812896526754,0.00012431493849964713,0.00005529825098031237,0,1.4090851869259696e-7,0.000013023639673716525,0.00002332056081524434,0.0006767311540908381,0.1879466803279592,0.18862341148205003
1.4000000000000001,1.5532657468098618e-8,0.0000019555625818231865,0.0006772403857648276,0,0,0,0,0,0,0,0,0.0017637072723708143,0.0027316918098172246,0.000004449525694866146,0.00006577794566216621,0,0,0,0.000022180109652038278,0,8.988672815986439e-7,0,0.001798198657332692,0.001798198657332692,0.0007456012600931774,0.000725829837916525,0,0.0019517343029154875,0.00007388441448963731,0.05748244606423728,0.11224018755104144,0.00013363366428713813,0.00005660686045153673,0,1.5356562524046157e-7,0.000012003789496551481,0.000021556738178836086,0.0006792114810041189,0.18162874089387696,0.18230795237488107
1.405,1.5588131273023e-8,0.0000019601737763093157,0.0006797146738547702,0,0,0,0,0,0,0,0,0.0022283944011453356,0.004228197002690764,0.000004839750616160576,0.00007067522378782379,0,0,0,0.00002279718813764625,0,9.661189611597297e-7,0,0.0023187224490091624,0.0023187224490091624,0.0011289943445770905,0.0011447571504354733,0,0.002550336435507053,0.0000746460790812849,0.05476547360330886,0.10695296226828095,0.00014355691648640424,0.00005795441214555163,0,1.672043888724489e-7,0.000011126905223867464,0.000020053755423583285,0.0006816904357623525,0.1780433436582162,0.17872503409397855
1.4100000000000001,1.564360507784737e-8,0.00000196496319604195,0.0006821887607436983,0,0,0,0,0,0,0,0,0.0031486023137353917,0.00665283228753213,0.000005253028054321067,0.0000759204955525636,0,0,0,0.000023472055102312526,0,0.0000010384550282574394,0,0.003324484254136632,0.003324484254136632,0.001873126242375273,0.001932912019286189,0,0.003693792400676882,0.00007540846585035164,0.05241063137716571,0.10236279509359798,0.00015418400508053492,0.00005929282236475208,0,1.8201015881037327e-7,0.000010383621031773885,0.000018778613579192323,0.0006841693675448181,0.17914757381444568,0.1798317431819905
1.415,1.5699078882572798e-8,0.000001969519264519078,0.0006846626486127828,0,0,0,0,0,0,0,0,0.004896214992945696,0.010683414835613692,0.00000569069996636053,0.0000815274937113685,0,0,0,0.00002411337992204455,0,0.0000011146225342149307,0,0.005208406473922544,0.005208406473922544,0.003276722068619259,0.0033925650780469666,0,0.005816901093382463,0.00007617446389248423,0.05030622186404705,0.09823749646895098,0.0001655425485377027,0.00006059278989164168,0,1.9797042459319117e-7,0.000009772176669507483,0.000017735677271216952,0.0006866478669561844,0.18746881117227232,0.1881554590392285
1.4200000000000002,1.575455268720032e-8,0.0000019737804147566185,0.0006871363396116091,0,0,0,0,0,0,0,0,0.008187129277380937,0.017582554913335036,0.000006147144751577931,0.00008751817048991095,0,0,0,0.00002476678921806779,0,0.0000011979751667312968,0,0.008714045775054325,0.008714045775054325,0.005908901951390819,0.006096126521817257,0,0.009740608890334642,0.00007692791774937211,0.04832507661356412,0.09445901557239544,0.00017767683827561658,0.00006181827427586309,0,2.1514560147224948e-7,0.000009302549765025223,0.000016921294948683508,0.0006891258745790529,0.2081899973905692,0.20887912326514826
1.425,1.581002649173097e-8,0.0000019782005979247494,0.0006896098358587503,0,0,0,0,0,0,0,0,0.014320728974342223,0.029597933278852157,0.000006635305644666707,0.00009393060002623626,0,0,0,0.000025462041496540986,0,0.0000012908257508282365,0,0.015217828293245495,0.015217828293245495,0.01082980490153632,0.011107951699020974,0,0.0169835839688186,0.0000777044071050183,0.04665590621414937,0.09116166292281701,0.00019066386528650224,0.000063045339402677,0,2.3388170262629458e-7,0.00000895002631439358,0.000016350498096232287,0.0006916038464831667,0.25157749533685336,0.2522690991833365
1.4300000000000002,1.5865500296165766e-8,0.0000019715028859342306,0.0006920831394423263,0,0,0,0,0,0,0,0,0.025185779579398104,0.04971085761026005,0.000007122811660235938,0.00010043590073983464,0,0,0,0.000026031972683120645,0,0.000001389253456372092,0,0.026657012939449314,0.026657012939449314,0.01952448789819449,0.019910132409485623,0,0.029665988083852034,0.00007819461850723515,0.04489376245532168,0.08778229295955094,0.00020383583387764722,0.00006400511991657201,0,2.530761042584556e-7,0.000008703883949919568,0.00001595022079259742,0.0006940705078285567,0.3304932495666493,0.3311873200744779
