"mass_GeV","channel_001","channel_002","channel_003","channel_004","channel_005","channel_006","channel_007","channel_008","channel_009","channel_010","channel_011","channel_012","channel_013","channel_014","channel_015","channel_016","channel_017","channel_018","channel_019","channel_020","channel_021","channel_022","channel_023","channel_024","channel_025","channel_026","channel_027","channel_028","channel_029","channel_030","channel_031","channel_032"
5.01,4.692324685606697e-8,0.002067496571063641,0.41610083478797877,3.6438622057815323e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15073309739814666,0.42688754854256666,0.00419848534283506,0,0,0,0,0,0,0,0,0,0,0,0
5.015,4.686887702263605e-8,0.0020651045905669854,0.4160314480039914,3.6199720884887037e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15076971493665062,0.42692742017185836,0.004193789449989609,0,0,0,0,0,0,0,0,0,0,0,0
5.02,4.6814815260727134e-8,0.0020627261649179226,0.415962202858859,3.5962691067045534e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1508068399887733,0.4269666023468091,0.004189120221878997,0,0,0,0,0,0,0,0,0,0,0,0
5.025,4.676105939096466e-8,0.0020603611982416004,0.41589310347218933,3.5727515501388606e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15084445556417492,0.42700510822248045,0.004184477470630713,0,0,0,0,0,0,0,0,0,0,0,0
5.029999999999999,4.6707606616578077e-8,0.002058009567458288,0.41582414820069435,3.5494176779323317e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150882556557101,0.42704294491493666,0.004179860953050442,0,0,0,0,0,0,0,0,0,0,0,0
5.035,4.665445417621885e-8,0.002055671151047318,0.4157553354316991,3.5262657691114716e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1509211379195727,0.4270801194471935,0.004175270429034443,0,0,0,0,0,0,0,0,0,0,0,0
5.04,4.6601599343396855e-8,0.0020533458290222873,0.41568666358258693,3.5032941223088513e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15096019466038407,0.4271166387508511,0.0041707056615203015,0,0,0,0,0,0,0,0,0,0,0,0
5.045,4.6549039425927266e-8,0.0020510334829067062,0.41561813110025553,3.4805010554881015e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15099972184411808,0.4271525096676936,0.004166166416438588,0,0,0,0,0,0,0,0,0,0,0,0
5.05,4.649677176538885e-8,0.0020487339957101524,0.4155497364605872,3.4578849056737794e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1510397145901827,0.4271877389512557,0.004161652462665506,0,0,0,0,0,0,0,0,0,0,0,0
5.055,4.644479373659203e-8,0.0020464472519048627,0.415481478167929,3.4354440286857753e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15108016807186547,0.4272223332683565,0.004157163571976429,0,0,0,0,0,0,0,0,0,0,0,0
5.06,4.639310189954916e-8,0.0020441731000598595,0.4154133471658204,3.4131767365265143e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15112109302271512,0.42725629139549076,0.0041526994431388764,0,0,0,0,0,0,0,0,0,0,0,0
5.0649999999999995,4.634169303031783e-8,0.0020419113982617612,0.41534533604431684,3.3910813742689926e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15116249692660894,0.4272896136834786,0.0041482597941743665,0,0,0,0,0,0,0,0,0,0,0,0
5.07,4.6290566335388844e-8,0.0020396621116855807,0.4152774589175389,3.36915648062937e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15120434338565206,0.4273223225156237,0.004143844560590634,0,0,0,0,0,0,0,0,0,0,0,0
5.074999999999999,4.6239719484183715e-8,0.0020374251377786342,0.4152097159023765,3.3474004958394176e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15124662470440686,0.4273544257757896,0.004139453540247254,0,0,0,0,0,0,0,0,0,0,0,0
5.08,4.6189150176482636e-8,0.0020352003753244703,0.41514210714402383,3.325811877383123e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15128933323086252,0.427385931272115,0.004135086533653436,0,0,0,0,0,0,0,0,0,0,0,0
5.085,4.6138856141963054e-8,0.0020329877244225536,0.4150746328155656,3.304389099762562e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1513324613555348,0.42741684673838776,0.004130743343927699,0,0,0,0,0,0,0,0,0,0,0,0
5.09,4.608883513974665e-8,0.002030787086468326,0.4150072931175716,3.2831306542675784e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1513760015105846,0.42744717983539243,0.004126423776758284,0,0,0,0,0,0,0,0,0,0,0,0
5.095,4.603908495795502e-8,0.0020285983641336516,0.41494008827769985,3.2620350487493522e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15141994616895263,0.4274769381522304,0.0041221276403643516,0,0,0,0,0,0,0,0,0,0,0,0
5.1,4.5989603413273416e-8,0.002026421461347611,0.4148730185503085,3.2411008073977005e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151464287843512,0.42750612920761233,0.0041178547454578515,0,0,0,0,0,0,0,0,0,0,0,0
5.105,4.594038835052277e-8,0.002024256283277665,0.4148060842160761,3.2203264705220667e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1515090190862369,0.4275347604511269,0.00411360490520614,0,0,0,0,0,0,0,0,0,0,0,0
5.109999999999999,4.5891441613569023e-8,0.0020221029112988407,0.4147393214721228,3.199710871231038e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1515540590650189,0.4275628762646937,0.004109378290810499,0,0,0,0,0,0,0,0,0,0,0,0
5.115,4.584275690335953e-8,0.002019961067986062,0.4146726927664244,3.179252285797442e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15159947789334133,0.4275904449239584,0.004105174344273369,0,0,0,0,0,0,0,0,0,0,0,0
5.119999999999999,4.579433183190628e-8,0.0020178306482445366,0.4146061956010885,3.1589492801800555e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15164527407960962,0.4276174707320123,0.004100992857723888,0,0,0,0,0,0,0,0,0,0,0,0
5.125,4.574616407880348e-8,0.0020157115499559734,0.4145398278652417,3.1388004388950913e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15169144542953522,0.42764395829863905,0.004096833629278636,0,0,0,0,0,0,0,0,0,0,0,0
5.13,4.569825135027536e-8,0.0020136036721741294,0.41447358746854635,3.1188043619643265e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15173798979429667,0.427669912164119,0.004092696459375562,0,0,0,0,0,0,0,0,0,0,0,0
5.135,4.565059137877545e-8,0.002011506915107179,0.4144074723408101,3.098959664708643e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15178490506988368,0.42769533680032784,0.004088581150738962,0,0,0,0,0,0,0,0,0,0,0,0
5.14,4.5603181922593305e-8,0.0020094211801003964,0.4143414804316042,3.0792649775449455e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15183218919645308,0.4277202366118151,0.004084487508345153,0,0,0,0,0,0,0,0,0,0,0,0
5.145,4.555602076546822e-8,0.002007346369619156,0.4142756097098878,3.059718945786373e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15187984015769918,0.42774461593685964,0.0040804153393887,0,0,0,0,0,0,0,0,0,0,0,0
5.15,4.55091057162101e-8,0.0020052823872322477,0.4142098581636427,3.040320229445717e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15192785598023203,0.4277684790485067,0.004076364453249312,0,0,0,0,0,0,0,0,0,0,0,0
5.154999999999999,4.546243319262096e-8,0.002003229075214665,0.4141442109030073,3.021067408965588e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15197626114054205,0.42779181683408984,0.004072334534646286,0,0,0,0,0,0,0,0,0,0,0,0
5.16,4.541600136332996e-8,0.002001186352987255,0.4140786687531133,3.0019591952221618e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15202504802287456,0.4278146363238218,0.004068325425058736,0,0,0,0,0,0,0,0,0,0,0,0
5.165,4.536980948111094e-8,0.0019991541877409755,0.4140132422414404,2.982994382471159e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1520741892159618,0.42783695449595394,0.004064337063031965,0,0,0,0,0,0,0,0,0,0,0,0
5.17,4.532385562522893e-8,0.001997132494956912,0.41394793102260596,2.9641716986950277e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15212367964548645,0.42785877702184216,0.004060369281942153,0,0,0,0,0,0,0,0,0,0,0,0
5.175,4.527813789792855e-8,0.001995121191127564,0.4138827347711934,2.9454898853824785e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1521735142703838,0.4278801095166021,0.004056421917169577,0,0,0,0,0,0,0,0,0,0,0,0
5.18,4.5232654424104157e-8,0.001993120193742319,0.41381765318146363,2.9269476973546547e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15222368808223521,0.4279009575400475,0.004052494806069802,0,0,0,0,0,0,0,0,0,0,0,0
5.1850000000000005,4.5187403350975896e-8,0.0019911294212731972,0.41375268596706993,2.9085439025940764e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15227419610467494,0.4279213265976111,0.004048587787945386,0,0,0,0,0,0,0,0,0,0,0,0
5.1899999999999995,4.514238284777152e-8,0.001989148793160839,0.41368783286078076,2.8902772820762407e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15232503339280548,0.4279412221412492,0.004044700704018093,0,0,0,0,0,0,0,0,0,0,0,0
5.195,4.5097591105413406e-8,0.001987178229800738,0.4136230936142066,2.8721466296038052e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1523761950326243,0.42796064957032764,0.004040833397401564,0,0,0,0,0,0,0,0,0,0,0,0
5.199999999999999,4.5053026348272745e-8,0.001985217653061188,0.4135584681082467,2.854150752407525e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15242767591355827,0.42797961434706705,0.0040369857141552435,0,0,0,0,0,0,0,0,0,0,0,0
5.205,4.500868827728446e-8,0.0019832670498728536,0.41349396961393237,2.836288561924355e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15247944354709647,0.42799813572377526,0.0040331576326005335,0,0,0,0,0,0,0,0,0,0,0,0
5.21,4.4964573569418884e-8,0.0019813262739172732,0.41342958346967557,2.8185587891274978e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15253152275822668,0.4280162039769506,0.004029348860045111,0,0,0,0,0,0,0,0,0,0,0,0
5.215,4.492068040100815e-8,0.001979395244942727,0.4133653085924738,2.800960271494364e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1525839106116933,0.4280338233639878,0.0040255592380918975,0,0,0,0,0,0,0,0,0,0,0,0
5.22,4.4877006968744436e-8,0.001977473883593579,0.41330114391531275,2.78349185867557e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15263660420432695,0.4280509980915303,0.0040217886101182425,0,0,0,0,0,0,0,0,0,0,0,0
5.225,4.483355148939301e-8,0.0019755621113976547,0.41323708838690987,2.766152412341399e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15268960066455564,0.42806773231625467,0.004018036821250865,0,0,0,0,0,0,0,0,0,0,0,0
5.23,4.479031219951038e-8,0.0019736598507538276,0.41317314097146085,2.7489408060306377e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15274289715192407,0.42808403014564156,0.004014303718341236,0,0,0,0,0,0,0,0,0,0,0,0
5.234999999999999,4.4747287355167015e-8,0.001971767024919817,0.41310930064839063,2.7318559250017185e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527964908566223,0.428099895638732,0.004010589149941378,0,0,0,0,0,0,0,0,0,0,0,0
5.24,4.4704475231674976e-8,0.001969883558000203,0.4130455664121119,2.714896666086054e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15285037899902038,0.42811533280687064,0.004006892966280073,0,0,0,0,0,0,0,0,0,0,0,0
5.244999999999999,4.466187412332015e-8,0.001968009374934634,0.4129819372717857,2.6980619375437083e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529045588292149,0.4281303456144337,0.004003215019239491,0,0,0,0,0,0,0,0,0,0,0,0
5.25,4.461948174086963e-8,0.0019661443749491845,0.4129184066779271,2.6813506227309123e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1529590390590946,0.4281449322008729,0.003999555108350186,0,0,0,0,0,0,0,0,0,0,0,0
5.255,4.457729609976473e-8,0.0019642884706941896,0.41285497072853244,2.664761634019617e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15301382303136318,0.4281590933865799,0.003995913060399991,0,0,0,0,0,0,0,0,0,0,0,0
5.26,4.4535316604842414e-8,0.0019624416360424276,0.41279163823596404,2.648293976717923e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15306888806180954,0.4281728431184015,0.003992288826677042,0,0,0,0,0,0,0,0,0,0,0,0
5.265,4.449354172372537e-8,0.0019606038035677453,0.4127284091970913,2.6319466091800115e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15312422960398486,0.42818618614651455,0.003988682274419688,0,0,0,0,0,0,0,0,0,0,0,0
5.27,4.44519699416076e-8,0.0019587749066173467,0.4126652836240828,2.6157185003685723e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1531798431349103,0.42819912718001674,0.003985093272398135,0,0,0,0,0,0,0,0,0,0,0,0
5.275,4.4410599761017547e-8,0.001956954879301372,0.41260226154420926,2.599608629725155e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1532357241546437,0.4282116708875878,0.003981521690893777,0,0,0,0,0,0,0,0,0,0,0,0
5.279999999999999,4.4369429701585234e-8,0.001955143656482644,0.41253934299965267,2.5836159870424798e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15329186818585303,0.4282238218981383,0.003977967401678865,0,0,0,0,0,0,0,0,0,0,0,0
5.285,4.432845829981315e-8,0.001953341173766588,0.4124765280473162,2.567739572338591e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1533482707733975,0.42823558480144847,0.0039744302779965044,0,0,0,0,0,0,0,0,0,0,0,0
