flavor,mass_GeV,has_sensitivity,u2_min_central,u2_min_open,u2_min_n_members_expected,u2_min_n_members_sensitive,u2_min_n_members_finite,u2_min_n_members_open,u2_min_topology_changed,u2_min_band_lo,u2_min_band_hi,u2_min_scale_up_dex,u2_min_scale_dn_dex,u2_min_pdf_sigma_dex,u2_min_mass_dev_dex,u2_max_central,u2_max_open,u2_max_n_members_expected,u2_max_n_members_sensitive,u2_max_n_members_finite,u2_max_n_members_open,u2_max_topology_changed,u2_max_band_lo,u2_max_band_hi,u2_max_scale_up_dex,u2_max_scale_dn_dex,u2_max_pdf_sigma_dex,u2_max_mass_dev_dex
Utau,0.7,True,9.942599449172153e-07,False,110,110,110,0,False,7.725269049598894e-07,1.4541966614286006e-06,0.16044140813135943,0.10239598682806061,0.01654322129162774,0.03536308012353734,,True,110,110,0,110,False,,,,,,
Utau,0.9,True,5.306326194041179e-07,False,110,110,110,0,False,3.942232430004013e-07,7.254125848009228e-07,0.13308722003599271,0.1262034852227858,0.01465371997551819,0.02263392554099598,0.0564814597977378,False,110,110,110,0,False,0.0556969585029507,0.05739462542182457,0.003408350194511023,0.0,0.001965419301773431,0.005747683194877873
Utau,1.0,True,4.688678606596602e-07,False,110,110,110,0,False,3.661403734885835e-07,6.623499234208467e-07,0.14625806646887707,0.10205725705642266,0.01552608656699438,0.029641657139624793,0.0290370030008733,False,110,110,110,0,False,0.02833814267666046,0.029693609900235778,0.0,0.00419969353191374,0.002471450876341513,0.00939145969692753
Utau,1.2,True,3.6983731265633065e-07,False,110,110,110,0,False,2.9067101420299745e-07,5.077039204821692e-07,0.1322229464673086,0.09742816510747598,0.01320794311150664,0.03572597804314207,0.0088594490966949,False,110,110,110,0,False,0.008814351450010003,0.008882458580083607,0.0,0.001908738577551361,0.0008769289819066411,0.00070706352682298
Utau,1.4,True,4.498056712449258e-07,False,110,110,110,0,False,3.725730887732197e-07,6.082509280284103e-07,0.12722013685357503,0.07551319080648966,0.012323174953505154,0.028971314752030294,0.0033561156906327,False,110,110,110,0,False,0.0033056009677872307,0.0034051402277591376,0.0014010647639906004,0.0023830918744085494,0.0018704190116844138,0.00584844754052815
Utau,1.6,True,6.614876129904054e-07,False,110,110,110,0,False,5.336430110439719e-07,8.410851387640349e-07,0.09555654180546913,0.0833559577634837,0.009269548302746905,0.04080831662559929,0.001430448397265,False,110,110,110,0,False,0.001421752082278812,0.0014407965131711382,0.0018819616580709742,0.0008692833599770466,0.0014221976562426603,0.002057987412856088
Utau,1.8,True,5.13863106637463e-07,False,110,110,110,0,False,4.38703642711053e-07,6.277161316833066e-07,0.08219179794191334,0.0625903068857312,0.010070174828752698,0.0264095661623287,0.0006520525945652,False,110,110,110,0,False,0.0006446948153120428,0.0006584975510926683,0.003168762099529765,0.004010566429153872,0.001833263517454219,0.002200935867016085
Utau,2.0,True,4.395005402713873e-07,False,110,110,110,0,False,3.7100478766810716e-07,5.318680536546287e-07,0.07448973849712459,0.06402743809254119,0.010291263975409099,0.03476461747851012,0.0003093237616308,False,110,110,110,0,False,0.00030807255055109414,0.00031258931740394904,0.004207465285868572,0.0,0.0015927419984405604,0.0007495026926327419
Utau,2.2,True,3.729674709349384e-07,False,110,110,110,0,False,3.285565449452905e-07,4.3766890498614013e-07,0.06664824336938402,0.051448465431501944,0.010133381437627851,0.016794799462219068,0.0001553814035706,False,110,110,110,0,False,0.00015373363243547348,0.00015750230664303864,0.003644104302843676,0.0002251349919344392,0.0024440603172385,0.003926090201644694
Utau,2.4,True,3.257921866752195e-07,False,110,110,110,0,False,2.8592241141091365e-07,3.9186178080223863e-07,0.07628536984184198,0.05101664008424578,0.010524547742568856,0.022373468843111866,8.058427208735026e-05,False,110,110,110,0,False,8.006539203622882e-05,8.125755446689205e-05,0.002595684492312067,0.0012454107894281918,0.002318943297827264,0.0009705768749750376
Utau,2.6,True,2.9613319029202093e-07,False,110,110,110,0,False,2.648712478747043e-07,3.4316630453259887e-07,0.06039522701724209,0.043554088933624335,0.009306576762965372,0.019080126251109775,4.300885712610241e-05,False,110,110,110,0,False,4.256757585798239e-05,4.394246240369803e-05,0.008276441329133633,0.0012559472504731772,0.0025621184293452364,0.003452454115540071
Utau,2.8,True,2.929488976911474e-07,False,110,110,110,0,False,2.493105553342974e-07,3.421775580576319e-07,0.06310211826778733,0.06586534189756144,0.013611252247383873,0.019587278087981552,2.4000962854512393e-05,False,110,110,110,0,False,2.326158446558588e-05,2.4455226900994635e-05,0.0,0.010879432268995792,0.002896224068583617,0.007610575144290088
