u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,u2_max_dm_lo,u2_min_dm_lo,u2_max_dm_hi,u2_min_dm_hi,width_delta,had_frac,mass_GeV,flavor,n_events,n_hits,n_hits_eval,decay_samples,hit_estimator,event_chunk,seed_salt
4.135691854174437e-08,8.294266574514357e-06,False,False,30.50101761757018,4.3470131581250264e-07,True,6.414074730544401e-06,3.941918311884092e-08,1.1303122981564345e-05,4.407261713011175e-08,0.2,0.6817342480304882,2.8,Ue,399999,3024,3024,50,exact,1000,
7.358179343773881e-08,4.649816373758418e-06,False,False,10.543307257709182,1.2033778407775905e-06,True,3.5246204943291296e-06,7.37827282183462e-08,6.443287594637786e-06,7.432139873931783e-08,0.2,0.6847598696734466,3.0,Ue,399999,2929,2929,50,exact,1000,
1.0543996561629726e-07,2.588857858282607e-06,False,False,6.622568116369955,9.329304026284696e-07,True,1.8884431164310558e-06,1.176296809495909e-07,3.707105044931285e-06,9.834716695515977e-08,0.2,0.6873334059603554,3.2,Ue,399999,2961,2961,50,exact,1000,
1.3186377368524327e-07,1.4012359795213577e-06,False,False,4.694660032798475,6.368249944718587e-07,True,9.42088202293482e-07,1.8355607873043785e-07,2.1090129839441845e-06,1.0898468189383485e-07,0.2,0.6894909904182234,3.4,Ue,299999,2235,2235,50,exact,1000,
2.603884848933668e-07,6.726407856713241e-07,False,False,3.2964115152617666,4.3470131581250264e-07,True,,,1.2050193617219735e-06,1.5203219928463068e-07,0.2,0.6912779633720592,3.6,Ue,299999,2232,2232,50,exact,1000,
3.220446280192643e-07,6.13837917716975e-07,False,False,3.1589358706057458,4.3470131581250264e-07,True,,,1.1437286406011089e-06,1.8057854872590985e-07,0.2,0.6914318746589103,3.62,Ue,299999,2205,2205,50,exact,1000,
1.0956976843533211e-08,,False,True,605836866243.4032,0.019116440753857038,True,,1.06750509767806e-08,,1.1235018172348754e-08,0.05,0.892583314023398,0.305,Umu,862956,6835,6835,50,exact,1000,
1.478887714303282e-07,,False,True,95232288.31477328,0.003654383070957262,True,,1.4430025437272635e-07,,1.519670930527079e-07,0.05,0.8062409873213363,0.5,Umu,762956,6077,6077,50,exact,1000,
5.766422296394569e-08,0.058096206578459667,False,False,9252577.833881035,0.0004198707084443923,True,0.054801535647858786,5.632374757826808e-08,0.06032747046741859,5.908056435338137e-08,0.05,0.6592792928128318,0.8,Umu,762956,5849,5849,50,exact,1000,
3.235910166439961e-08,0.01171226250599199,False,False,2064067.4942848862,0.00010353218432956616,True,0.011181699015377638,3.160690325863836e-08,0.012518496994939125,3.32077682211919e-08,0.05,0.6824932164767591,1.0,Umu,762956,5646,5646,50,exact,1000,
1.8947589944249658e-08,0.003611827920181907,False,False,860492.7936901056,3.739937302478802e-05,True,0.0032992961403495546,1.8177349772562297e-08,0.004022065594517691,1.9919129233606677e-08,0.0875,0.6749987905244851,1.2,Umu,762956,5617,5617,50,exact,1000,
1.3791252419739728e-08,0.0012873285463245868,False,False,282017.14374736755,1.5343684089300132e-05,True,0.001129103376620278,1.2953726762945067e-08,0.0014859776387607252,1.4732668862901455e-08,0.125,0.6694515026265248,1.4,Umu,762956,5457,5457,50,exact,1000,
