flavor,mass_GeV,boundary,u2,channel,N,frac
Ue,2.8,peak_u2,4.937047852839004e-07,induced_tau,0.0,0.0
Ue,2.8,peak_u2,4.937047852839004e-07,Bmeson,17.925203564879627,0.6841447151086592
Ue,2.8,peak_u2,4.937047852839004e-07,Bbaryon,3.1378099387303497,0.11975964896732319
Ue,2.8,peak_u2,4.937047852839004e-07,Bc,2.2646064084098656,0.08643240789467796
Ue,2.8,peak_u2,4.937047852839004e-07,WZ,2.8732746779978005,0.10966322802933982
Ue,2.8,u2_max,8.131214371818722e-06,Kmeson,0.0,0.0
Ue,2.8,u2_max,8.131214371818722e-06,Dmeson,0.0,0.0
Ue,2.8,u2_max,8.131214371818722e-06,tau,0.0,0.0
Ue,2.8,u2_max,8.131214371818722e-06,induced_tau,0.0,0.0
Ue,2.8,u2_max,8.131214371818722e-06,Bmeson,0.055580997844574556,0.018187357998692942
Ue,2.8,u2_max,8.131214371818722e-06,Bbaryon,0.0040288971323659065,0.0013183461493647642
Ue,2.8,u2_max,8.131214371818722e-06,Bc,0.02081847023898947,0.0068122737249237016
Ue,2.8,u2_max,8.131214371818722e-06,WZ,2.975595376581474,0.9736820221270186
Ue,3.2,u2_min,1.232089429591862e-07,Kmeson,0.0,0.0
Ue,3.2,u2_min,1.232089429591862e-07,Dmeson,0.0,0.0
Ue,3.2,u2_min,1.232089429591862e-07,tau,0.0,0.0
Ue,3.2,u2_min,1.232089429591862e-07,induced_tau,0.0,0.0
Ue,3.2,u2_min,1.232089429591862e-07,Bmeson,1.6055089359925112,0.5294268320572144
Ue,3.2,u2_min,1.232089429591862e-07,Bbaryon,0.015081932785033414,0.004973363720796709
Ue,3.2,u2_min,1.232089429591862e-07,Bc,0.8577419467508516,0.2828458885594203
Ue,3.2,u2_min,1.232089429591862e-07,WZ,0.5542088668678719,0.18275391566256874
Ue,3.2,peak_u2,9.329304026284696e-07,Kmeson,0.0,0.0
Ue,3.2,peak_u2,9.329304026284696e-07,Dmeson,0.0,0.0
Ue,3.2,peak_u2,9.329304026284696e-07,tau,0.0,0.0
Ue,3.2,peak_u2,9.329304026284696e-07,induced_tau,0.0,0.0
Ue,3.2,peak_u2,9.329304026284696e-07,Bmeson,0.41803232537816154,0.06665985962075473
Ue,3.2,peak_u2,9.329304026284696e-07,Bbaryon,0.0028960545338550026,0.0004618078004043989
Ue,3.2,peak_u2,9.329304026284696e-07,Bc,0.2380425231589798,0.0379585027621809
Ue,3.2,peak_u2,9.329304026284696e-07,WZ,5.612154295158584,0.89491982981666
Ue,3.2,u2_max,2.5510821500262676e-06,Kmeson,0.0,0.0
Ue,3.2,u2_max,2.5510821500262676e-06,Dmeson,0.0,0.0
Ue,3.2,u2_max,2.5510821500262676e-06,tau,0.0,0.0
Ue,3.2,u2_max,2.5510821500262676e-06,induced_tau,0.0,0.0
Ue,3.2,u2_max,2.5510821500262676e-06,Bmeson,0.014389771001459543,0.004787846979004024
Ue,3.2,u2_max,2.5510821500262676e-06,Bbaryon,0.00012842869333388833,4.273153001070851e-05
Ue,3.2,u2_max,2.5510821500262676e-06,Bc,0.008976648873724565,0.00298676199831691
Ue,3.2,u2_max,2.5510821500262676e-06,WZ,2.981983619010437,0.9921826594926684
Ue,3.6,u2_min,3.2362946319937626e-07,Kmeson,0.0,0.0
Ue,3.6,u2_min,3.2362946319937626e-07,Dmeson,0.0,0.0
Ue,3.6,u2_min,3.2362946319937626e-07,tau,0.0,0.0
Ue,3.6,u2_min,3.2362946319937626e-07,induced_tau,0.0,0.0
Ue,3.6,u2_min,3.2362946319937626e-07,Bmeson,0.3655158185725063,0.12229103220744986
Ue,3.6,u2_min,3.2362946319937626e-07,Bbaryon,0.0,0.0
