mass_GeV,n_events,n_hits,has_sensitivity,peak_N,peak_invf,invf_min,invf_max,invf_min_open,invf_max_open,invf_min_sample_ess,invf_min_event_ess,invf_min_max_event_fraction,peak_sample_ess,peak_event_ess,peak_max_event_fraction,invf_max_sample_ess,invf_max_event_ess,invf_max_max_event_fraction,exclusion_reason
0.88,1199988,13067,True,3442.455200488597,4.122034620623098e-07,3.4829846898867584e-08,2.314955116857734e-06,False,False,80379.20181948235,2312.6739178562143,0.0016574905883166655,84487.44739409178,2062.018652187875,0.0014708242203725936,11397.918187386147,306.4344905998648,0.013679824624959033,
0.9,1199988,13192,True,3085.0830024359216,3.971714816056519e-07,3.427691463240079e-08,2.2161753575225053e-06,False,False,78027.46259851549,2321.5147344643597,0.0015250093275527496,82904.22956430355,2092.120797623789,0.0016375521236756073,10098.299453039906,281.8234301924123,0.01882090723687877,
0.92,1199988,13173,True,2360.704644690451,3.486846699491245e-07,3.2696376528799385e-08,1.9373676911410052e-06,False,False,69433.07424012553,2342.83793752159,0.0015398775622825717,75319.13713070941,2116.7959869299398,0.0016072200749572185,10636.039401053627,348.0493756430918,0.015002498319326658,
0.94,1199988,12899,True,791.3984253228209,2.3189142921712272e-07,2.8133426394411367e-08,1.1316729622496838e-06,False,False,45654.38767542386,2169.858226252433,0.0017639401846136942,47843.90437833304,1979.606539371237,0.0017679614550599944,8422.070198161007,378.6104367708096,0.011103982821140945,
0.96,0,0,False,,,,,False,False,,,,,,,,,,unsupported eta-prime resonance
0.98,1199988,13114,True,260.3510546775533,1.3896646198606015e-07,2.266946089903856e-08,5.9869039029048e-07,False,False,46408.95169698487,2246.2825264786143,0.0014878214904157966,47393.75924862459,2045.0708765652091,0.0016670657839482998,8630.521584498156,355.28550986735917,0.018064451663098023,
1.0,1199988,13054,True,372.44345319346087,1.6729954164225744e-07,2.4609805309751605e-08,7.468680157178837e-07,False,False,51573.87986965061,2309.5523136352235,0.0015289544445952826,51198.72860547398,2007.0649267447318,0.0019104354772653978,11115.807680893808,430.2068663609313,0.011455277665065855,
1.05,1199988,12860,True,238.11584082804757,1.3842224153280505e-07,2.2949794897308307e-08,5.834796436824263e-07,False,False,52908.870818268726,2269.418631563644,0.0018259005011071203,52660.221432346356,2003.451031849841,0.001622624117189154,9566.053675492243,359.48205113884416,0.015180834666539205,
1.1,1199988,13047,True,104.55351537827457,9.104938416748717e-08,1.909405997490303e-08,3.4404138162814236e-07,False,False,54267.23097636073,2334.8155833894893,0.0013992387024811556,53612.52752748088,2099.758345765372,0.001602911863413557,10263.802146893295,394.76736958989994,0.01004285033588658,
1.15,1199988,12806,True,39.008815005226516,5.749921190221073e-08,1.6049310514720074e-08,1.781050714135662e-07,False,False,55210.139213472496,2358.427112269888,0.0016036891527776423,51334.81767067967,2030.20169953437,0.0017221213898406416,11468.832175436404,465.2184466904186,0.011064232903623083,
1.18,1199988,12857,True,23.453639813574686,4.3725905855128276e-08,1.4107862451792715e-08,1.1645206867297231e-07,False,False,56773.611649904095,2444.2998547603097,0.0012938655519415148,48379.68034036344,1979.6197578932258,0.0017387247931432816,12004.79641954133,548.0317286420432,0.008971981838860669,
1.19,1199988,12837,True,18.18961648676941,3.860316737661885e-08,1.378748105203641e-08,9.871662004753162e-08,False,False,56264.88431201624,2421.333770723143,0.0013404087392720801,48559.42416408892,2008.1779433247534,0.00179952069788385,11994.556619559564,551.742324018429,0.00904505331740282,
1.2,1199988,12815,True,14.229087220265983,3.4643507847830793e-08,1.3398966978933479e-08,8.244130160100383e-08,False,False,55417.2480257577,2349.4431466822502,0.001431124314482844,47135.5929990671,1949.7847497603693,0.0015809080208718533,13398.39591107459,632.3443477145956,0.006932409671826221,
1.21,1199988,12791,True,11.635424932628927,3.095286620272771e-08,1.2778678227554035e-08,6.886513874332371e-08,False,False,57978.2081885572,2448.08125616923,0.0012331731261600522,48528.09547782022,2006.0468558165694,0.0018114315538091518,15850.288465568765,720.6814117689021,0.006640213218191395,
1.22,1199988,12883,True,8.319285995285746,2.705854695320312e-08,1.2673676567762109e-08,5.426641855294017e-08,False,False,59646.87156325088,2492.1542822511014,0.0012855545904101313,47307.64396818716,1962.4785727837473,0.001761021519604038,16745.0116169586,765.8044053459392,0.0056601242774273535,
1.23,1199988,12674,True,6.676466865710397,2.3449903817549898e-08,1.2072792230390655e-08,4.342848901510492e-08,False,False,62136.747988348005,2526.288224425166,0.0012040693190051657,49004.41733600472,1987.4524557530162,0.0016113617184960875,18818.893555205865,819.3470741760125,0.0058867983460565735,
1.24,1199988,12810,True,4.454963190411465,1.9369604267263174e-08,1.229410675146883e-08,2.977049904718239e-08,False,False,61164.6386765016,2435.4290944149316,0.0012636911157796334,48811.40895547179,1966.6017987270623,0.0018517139569250516,27474.693693778896,1183.0737896939215,0.0034055753744295283,
