event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
18384,6000113,2.55027,-5.37001,-1.57667,273.989,15,54.75989051664132,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18385,6000113,95.4948,-0.422839,1.76541,104.16,15,20.81758828352,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18386,6000113,61.591,-0.696147,0.631318,77.1277,15,15.414868508591068,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18387,6000113,88.6332,1.89105,0.958093,300.345,15,60.02744386534,False,23.234801202318668,25.150585472186066,1.9157842698673981,0.0,2,1,0.029138391269007524,0.0,0.029138391269007524,0.0,0.029138391269007524
18388,6000113,42.9811,-0.443334,2.86976,47.2746,15,9.448379023311201,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18389,6000113,54.6592,-1.81389,0.869093,172.101,15,34.396387876172,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18390,6000113,77.1256,-0.544722,-0.24712,88.8538,15,17.758466069760267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18391,6000113,66.202,-0.456555,1.55484,73.2223,15,14.634328864942267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18392,6000113,57.3606,0.707382,2.82119,72.3205,15,14.454093639192665,True,33.783852704624614,34.601862634320746,0.8180099296961316,0.005314360562031831,2,1,0.005314360562031828,0.0,0.005314360562031828,0.005314360562031831,0.0
18393,6000113,82.4747,0.817179,-3.1012,111.579,15,22.300361780788,True,32.155994802818014,34.8251795840906,2.669184781272584,0.026674995953356626,2,1,0.02667499595335665,0.0,0.02667499595335665,0.026674995953356626,0.0
18394,6000113,75.029,-0.492502,-1.90224,84.3138,15,16.8510942302136,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18395,6000113,32.8987,2.05101,-2.29628,130.022,15,25.986409982717333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18396,6000113,52.1605,-0.346479,-1.03116,55.3228,15,11.056905463628269,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18397,6000113,67.5966,1.2543,0.31913,128.118,15,25.605873422696,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18398,6000113,66.195,-2.36688,-1.92377,356.056,15,71.16193561709866,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18399,6000113,75.2255,-0.497543,1.98476,84.7302,15,16.934316616554398,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18400,6000113,25.284,2.2698,2.42718,123.649,15,24.712691759494668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18401,6000113,54.7262,-0.370917,0.718642,58.5341,15,11.698721143878537,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18402,6000113,25.4119,-2.6257,-2.77978,176.442,15,35.263987249624,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18403,6000113,57.1411,1.7285,1.15309,165.988,15,33.17463367900267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18404,6000113,13.0777,3.0209,1.91449,134.429,15,26.867200224321333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18405,6000113,55.0413,0.749033,0.00901834,71.2173,15,14.2336062794156,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18406,6000113,63.1772,1.22043,-1.22314,116.364,15,23.256699721808,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18407,6000113,38.6382,1.74829,-0.0580276,114.347,15,22.85357879661733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18408,6000113,33.6467,1.23714,0.65257,62.8515,15,12.561603782657999,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18409,6000113,48.4251,0.411796,-1.88421,52.5893,15,10.510583674332933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18410,6000113,36.4874,0.153696,2.2311,36.9193,15,7.378751796426267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18411,6000113,62.839,-1.79479,-1.61137,194.31,15,38.83511500932,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18412,6000113,45.4845,-0.292506,-0.394443,47.4443,15,9.482295543392933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18413,6000113,61.724,0.8365,0.547669,84.6081,15,16.9099135104732,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18414,6000113,55.4376,1.81159,-0.874995,174.172,15,34.81030132985067,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18415,6000113,101.236,-2.66963,0.470201,734.162,15,146.73082036679736,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18416,6000113,53.9734,1.95337,2.1841,194.147,15,38.80253756221733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18417,6000113,58.7642,-1.01899,-1.34722,92.0061,15,18.3884899133292,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18418,6000113,87.504,-0.32688,-0.70042,92.2207,15,18.431380220987066,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18419,6000113,56.3476,-0.0991414,-2.75821,56.6247,15,11.317105331008399,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18420,6000113,74.2577,-1.4743,1.64591,170.678,15,34.11198476434933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18421,6000113,33.5474,2.6051,0.959202,228.231,15,45.614621654531994,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18422,6000113,101.974,2.44564,-0.0360184,592.703,15,118.45859282264932,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18423,6000113,49.2917,2.20665,-2.03877,226.625,15,45.29364386283334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18424,6000113,70.5041,-0.264379,-2.32643,72.9825,15,14.586402043990002,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
18425,6000113,39.7164,-1.47941,0.807473,91.7079,15,18.3288911726788,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
