event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,event_decay_prob,particle1_decay_prob,particle2_decay_prob
193,9900015,6.06247,-6.83307,2.80668,2813.09,79,106.75229945255951,False,,,,0.0,2,0,0.0,0.0,0.0
193,9900015,6.04097,-6.83663,2.80913,2813.13,79,106.75381738905567,False,,,,0.0,2,0,0.0,0.0,0.0
194,-9900015,2.45645,7.56956,-0.1142,2380.65,79,90.34188799211394,False,,,,0.0,1,0,0.0,0.0,0.0
195,-9900015,17.0471,3.3838,-2.1906,251.585,79,9.547251334927848,False,,,,0.0,1,0,0.0,0.0,0.0
196,-9900015,16.3603,3.75288,-1.91004,349.026,79,13.244982588089618,False,,,,0.0,1,0,0.0,0.0,0.0
197,9900015,7.49484,5.29236,1.63779,745.052,79,28.27354055921722,False,,,,0.0,1,0,0.0,0.0,0.0
198,-9900015,8.77045,-2.88021,-1.50121,78.3818,79,2.9744648714511897,False,,,,0.0,1,0,0.0,0.0,0.0
199,-9900015,4.2938,6.23354,-0.407142,1093.97,79,41.51442471876709,False,,,,0.0,1,0,0.0,0.0,0.0
200,9900015,11.7069,4.26906,-3.0066,418.339,79,15.875300897121774,False,,,,0.0,1,0,0.0,0.0,0.0
201,-9900015,3.9169,-2.38398,1.45444,21.4257,79,0.8130712996671644,False,,,,0.0,1,0,0.0,0.0,0.0
202,-9900015,1.95161,4.34883,0.594744,75.5279,79,2.86616389728838,False,,,,0.0,1,0,0.0,0.0,0.0
203,-9900015,5.81358,-5.06361,-0.0383296,459.757,79,17.447048242114686,False,,,,0.0,1,0,0.0,0.0,0.0
204,-9900015,13.3397,2.5118,-0.422168,82.7612,79,3.140656148737924,False,,,,0.0,1,0,0.0,0.0,0.0
205,-9900015,6.78263,-3.95694,-1.2559,177.421,79,6.732845277318734,False,,,,0.0,1,0,0.0,0.0,0.0
206,-9900015,5.06583,-3.77556,-0.624313,110.548,79,4.195121094554937,False,,,,0.0,1,0,0.0,0.0,0.0
207,-9900015,4.54357,-4.80733,-2.90988,278.094,79,10.55322579937367,False,,,,0.0,1,0,0.0,0.0,0.0
208,-9900015,34.9159,2.93042,-1.65159,328.016,79,12.447686443459242,False,,,,0.0,1,0,0.0,0.0,0.0
209,-9900015,1.6205,4.80271,-2.07414,98.7276,79,3.746555680562126,False,,,,0.0,1,0,0.0,0.0,0.0
