u2_min,u2_max,u2_min_open,u2_max_open,peak_N,peak_u2,has_sensitivity,mass_GeV,n_events,n_hits,ctau_sin2th1_m,u2_min_sample_ess,u2_min_event_ess,u2_min_max_event_fraction,peak_u2_sample_ess,peak_u2_event_ess,peak_u2_max_event_fraction,u2_max_sample_ess,u2_max_event_ess,u2_max_max_event_fraction
1.787876468922728e-11,3.856016924037266e-10,False,False,11.013682028921862,9.173874184439097e-11,True,3.5,1200000,11442,6.055194000463406e-10,139687.60483162338,2744.194685592061,0.0007981728731259773,143376.15180730485,2127.0902592023417,0.001183600932373519,76848.51060508528,1064.146272515937,0.003641058158577299
1.873904614649388e-11,2.9379132716519657e-10,False,False,8.543866768444806,7.99514725132877e-11,True,3.6,1200000,11412,5.353131601698593e-10,139929.86212908867,2711.7352085856105,0.0008261406147718803,140029.66721733563,2104.9176121462874,0.0012304955502184997,80717.89988438133,1124.4345463535712,0.0034883796121951416
2.0451600316341674e-11,1.442615099182384e-10,False,False,5.241502247263929,5.688394037996008e-11,True,3.7,1200000,11396,3.82753431871764e-10,139359.20599225163,2598.676543324672,0.0008361260325503496,132477.29318024867,2066.299073045805,0.0012352211686129533,94059.25936142803,1380.3816350943346,0.0024512798885790326
,,False,False,2.957516785304835,3.703146959877119e-11,False,3.8,1200000,11362,2.412555867388489e-10,,,,130449.56136760235,2041.1162137413498,0.00125354521847329,,,
,,False,False,1.5344713615171324,2.2846406852158934e-11,False,3.9,1200000,11377,1.5369673278022707e-10,,,,126613.4725817499,2043.747564673246,0.001300748604846838,,,
,,False,False,0.934303280055656,1.5834173347912376e-11,False,4.0,1200000,11389,1.073375890358666e-10,,,,127872.72903899034,2068.807187211889,0.001350972958376057,,,
,,False,False,0.6165737724673342,1.2028227185689674e-11,False,4.1,1200000,11350,8.054347175390607e-11,,,,127578.46513458292,2062.643683957364,0.0012668777986365085,,,
,,False,False,0.41214436259290044,9.347196498593097e-12,False,4.2,1200000,11397,6.355533312842546e-11,,,,128545.47908694176,2089.5263768041336,0.0013039653283621739,,,
,,False,False,0.269540328041466,7.530484911604036e-12,False,4.3,1200000,11322,5.206993437345188e-11,,,,127719.33120689294,2088.5258758581954,0.001231671193947743,,,
,,False,False,0.1923672701043205,6.31916164129204e-12,False,4.4,1200000,11374,4.3865974464347474e-11,,,,130671.24846463861,2142.9657835309645,0.0012769438183802583,,,
,,False,False,0.12815984802455865,5.428004852650272e-12,False,4.5,1200000,11323,3.776327062849096e-11,,,,127135.24836534452,2092.5537956346293,0.001246300996640757,,,
,,False,False,0.08742717839281694,4.7136430755616026e-12,False,4.6,1200000,11251,3.307098936096686e-11,,,,128092.42800641159,2101.6754674354606,0.0011752786551060298,,,
,,False,False,0.0596360314317797,4.174780947960887e-12,False,4.7,1200000,11206,2.9378934186666e-11,,,,131898.14617813603,2166.450460931627,0.0011190282913763573,,,
